rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,time/total_timesteps,train/ent_coef_loss,train/ent_coef,time/fps
-124755.7971793,4698,119721.546875,187652,4.0,3619765.75,219974,0.001,880000,-2.6042253971099854,19.49622344970703,187
-124722.38021893999,4751,118287.2578125,190152,4.0,5318074.0,222474,0.001,890000,1.582181453704834,17.78571319580078,187
-124677.75221142998,4806,117025.703125,192652,4.0,8415506.0,224974,0.001,900000,-3.3514389991760254,17.49782371520996,187
-124735.68316006003,4861,117070.5859375,195152,4.0,4012016.25,227474,0.001,910000,0.37730905413627625,17.815969467163086,187
-124768.78736776,4913,118586.4921875,197651,4.0,2577565.0,229974,0.001,920000,2.091871976852417,17.52579689025879,187
-124837.77772348,4966,114256.9375,200144,4.0,4845838.5,232474,0.001,930000,1.5077890157699585,20.297338485717773,187
-124699.30846167999,5021,117610.234375,202644,4.0,5828730.0,234974,0.001,940000,3.0820236206054688,18.463878631591797,187
-124765.44371910002,5074,113715.515625,205144,4.0,2586956.5,237474,0.001,950000,2.134251594543457,17.9573974609375,187
-124661.12833378998,5127,116625.328125,207644,4.0,3332875.0,239974,0.001,960000,0.13239991664886475,19.69202423095703,187
-124647.09239634,5179,119037.875,210133,4.0,2539854.25,242474,0.001,970000,0.4294130802154541,18.42533302307129,187
-124668.16692977998,5232,114248.546875,212633,4.0,8821159.0,244974,0.001,980000,1.4707896709442139,18.388593673706055,187
-124674.47046053002,5290,114398.390625,215132,4.0,3119743.0,247474,0.001,990000,-0.42720359563827515,18.243724822998047,187
-124791.51985861998,5349,118072.484375,217630,4.0,2515564.0,249974,0.001,1000000,-3.615103244781494,18.020723342895508,186
