train/n_updates,train/loss,train/approx_kl,rollout/ep_len_mean,train/std,train/value_loss,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance
900,180925536.0,0.007203702,255.81,11.67572021484375,380141575.9375,907,0.0017,815,740000,0.0355224609375,-0.000817826114325726,0.2,-330302.57861379,-22.913064078986643,1.1920928955078125e-07
910,61874620.0,0.007156121,266.2,12.020670890808105,322540392.0625,909,0.0017,825,750000,0.040478515625,-0.0015788460990734166,0.2,-357833.37667708,-23.086158391833305,0.0
920,118507728.0,0.030044157,283.87,12.47797679901123,331851128.50625,910,0.0017,834,760000,0.1269287109375,0.0036137215811322676,0.2,-376636.81459364993,-23.309954327344894,0.0
930,126595976.0,0.006847908,320.77,12.70596694946289,328797513.9625,911,0.0017,844,770000,0.0464599609375,-0.00252493912121281,0.2,-422035.32497348,-23.442372831702233,0.0
950,150165632.0,0.010494852,262.03,13.523048400878906,371095014.73125,907,0.0017,859,780000,0.08653564453125,-7.909105534054106e-05,0.2,-355225.0365009701,-23.782399478554726,0.0
960,263329856.0,0.008276911,262.3,13.940788269042969,341349574.740625,908,0.0017,869,790000,0.05863037109375,-0.001148230665603478,0.2,-350605.80627159,-23.950497686862946,0.0
970,155387872.0,0.0067700353,261.97,14.37292766571045,330250261.81875,909,0.0017,879,800000,0.0438720703125,0.0016306688981785555,0.2,-351727.46263778006,-24.135710841417314,0.0
980,302824160.0,0.00917977,300.3,14.705491065979004,336812693.225,911,0.0017,889,810000,0.09024658203125,0.0048579604481346905,0.2,-411879.47017544997,-24.279963633418085,0.0
1000,150286016.0,0.008130894,304.23,15.577484130859375,317285831.475,906,0.0017,904,820000,0.05662841796875,-0.001142541722401802,0.2,-422640.73789745005,-24.601900033652782,-1.1920928955078125e-07
1010,144802080.0,0.007129707,302.16,16.015960693359375,342975353.8625,908,0.0017,913,830000,0.0406494140625,-0.0010299604935426032,0.2,-430856.04439656995,-24.770181547105313,1.1920928955078125e-07
1020,50174236.0,0.0155028,284.15,16.635408401489258,302343420.5875,909,0.0017,923,840000,0.11319580078125,0.004172003099938593,0.2,-402825.72791286,-24.970473903417588,0.0
1030,129004496.0,0.0076983455,256.85,17.168235778808594,384177403.0375,910,0.0017,933,850000,0.043359375,-0.0012752046517562122,0.2,-370811.2629840599,-25.15452833622694,0.0
1040,260540832.0,0.006434398,256.11,17.645153045654297,364207647.140625,911,0.0017,943,860000,0.048876953125,0.0014230554794266936,0.2,-377214.47370018996,-25.339022904634476,0.0
1060,118721720.0,0.009479713,253.12,18.868284225463867,348088948.4875,907,0.0017,958,870000,0.0586181640625,2.648010377015453e-06,0.2,-362064.2610576901,-25.72729144245386,0.0
1070,181853504.0,0.0065982137,252.77,19.490192413330078,345647083.94375,908,0.0017,968,880000,0.04815673828125,0.00015378738526123926,0.2,-367059.55743608996,-25.91743437349796,0.0
1080,180282176.0,0.007519206,268.38,20.14327621459961,328922305.225,909,0.0017,978,890000,0.04193115234375,-5.659130274580093e-05,0.2,-382703.67493832,-26.098545241355897,0.0
1090,87698768.0,0.00807072,269.82,20.861412048339844,287416557.35,911,0.0017,987,900000,0.06453857421875,0.0006850227126051322,0.2,-399261.69378364994,-26.30968082845211,0.0
1110,122258536.0,0.01047207,288.24,22.450525283813477,346193991.85,907,0.0017,1002,910000,0.08590087890625,0.001919706914031849,0.2,-419733.2554630799,-26.734804429113865,0.0
1120,187137120.0,0.0067251874,280.23,23.198991775512695,329343381.1125,908,0.0017,1012,920000,0.03907470703125,5.5406836418114834e-05,0.2,-417144.52966698,-26.922412613034247,1.1920928955078125e-07
1130,52878528.0,0.008380887,284.77,24.042861938476562,317057854.85,909,0.0017,1022,930000,0.0451904296875,-0.0009906438423968212,0.2,-418445.52664184006,-27.118437066674232,0.0
1140,169288672.0,0.008102333,286.98,24.405771255493164,320172756.26875,910,0.0017,1032,940000,0.11141357421875,0.006982549545864458,0.2,-425986.66063793004,-27.262580724060534,0.0
1150,200624448.0,0.005215032,293.92,25.061952590942383,304528295.63125,911,0.0017,1041,950000,0.02755126953125,-0.00021398104618128855,0.2,-437956.12119263003,-27.373170356452466,-0.0030668973922729492
1170,171432864.0,0.012371654,273.8,27.123275756835938,379899659.55,908,0.0017,1056,960000,0.06591796875,-0.0022915959196325277,0.2,-427942.64900271996,-27.80727549493313,0.0
1180,202492464.0,0.021105457,253.48,28.09786033630371,376421226.725,909,0.0017,1066,970000,0.11263427734375,0.005903593909715709,0.2,-412316.8457221299,-28.03097769767046,0.0
1190,267279376.0,0.0049364404,267.06,28.74159812927246,385340919.0875,910,0.0017,1076,980000,0.02236328125,-0.0021778792868644816,0.2,-446531.88132429007,-28.17681705355644,0.0
1200,87911120.0,0.00828729,270.1,29.79081153869629,338466606.13125,911,0.0017,1085,990000,0.04237060546875,-0.001321831639506854,0.2,-455980.80607889005,-28.36340039074421,0.0
1220,201351472.0,0.0069296206,298.47,31.888084411621094,364288921.4875,908,0.0017,1100,1000000,0.03543701171875,-3.0803803747403434e-05,0.2,-495230.7051505901,-28.765364941954612,1.1920928955078125e-07
