time/fps,train/clip_fraction,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/clip_range,train/loss,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates
1491,0.0,106.41,0.0017,556,0.2,467571456.0,780165286.225,0.0010870099067687988,830000,-169724.33088488,0.0001677572,-0.00020066853667231044,4.114293098449707,-16.915420238673686,1010
1492,0.0,120.4,0.0017,562,0.2,396490880.0,757385685.575,0.0005390644073486328,840000,-187015.97192644997,0.00019610277,-0.00028805897063648444,4.1291422843933105,-16.939674761891364,1020
1494,0.0,112.46,0.0017,568,0.2,297541824.0,732028461.1375,0.0036914944648742676,850000,-168451.63386918002,2.0956963e-05,-9.801175319807953e-05,4.130736351013184,-16.945270666480063,1030
1496,0.0,109.31,0.0017,574,0.2,301841024.0,727565488.9,0.006212830543518066,860000,-162752.77710588,4.5776032e-06,-2.765264152913005e-05,4.131911754608154,-16.947159826755524,1040
1490,0.0,120.89,0.0017,583,0.2,287576544.0,716392582.35,0.006452679634094238,870000,-166905.72593561,1.6771737e-06,-2.6544292177277383e-05,4.133421421051025,-16.94956512749195,1060
1491,0.0,102.58,0.0017,589,0.2,663840384.0,796249021.425,0.006472766399383545,880000,-172060.70036219002,1.0925643e-05,-4.9647707237454596e-05,4.135334014892578,-16.95145943760872,1070
1493,0.0,115.72,0.0017,595,0.2,429043680.0,823001508.975,0.00754094123840332,890000,-178651.92671591,7.3349656e-07,-1.8983367226610426e-05,4.135929584503174,-16.953225368261336,1080
1495,0.0,108.23,0.0017,601,0.2,371854688.0,754880709.075,0.009140491485595703,900000,-166297.04797406,2.4305766e-05,-0.0001910346484692127,4.137505054473877,-16.9547780752182,1090
1489,0.0,113.9,0.0017,611,0.2,414170816.0,694473848.65,0.05052608251571655,910000,-165372.34822929002,1.6389822e-07,-1.0767409594336642e-05,4.1380615234375,-16.956338053941728,1110
1490,0.0,113.28,0.0017,617,0.2,298827232.0,769202625.6125,0.02429860830307007,920000,-190203.66869604,6.833913e-05,-0.0001193164746837283,4.142908573150635,-16.96183736473322,1120
1492,0.0,115.12,0.0017,623,0.2,421356672.0,766038607.025,0.020168423652648926,930000,-184327.9483194601,9.398762e-05,-0.0002018427372604492,4.147014141082764,-16.968579855561256,1130
1494,0.0,115.58,0.0017,629,0.2,432448320.0,687703048.4375,0.017937541007995605,940000,-172808.00593422996,1.28627435e-05,6.411684616978164e-05,4.147205352783203,-16.969610592722894,1140
1495,0.0,108.46,0.0017,635,0.2,483035712.0,738092553.7,0.028461992740631104,950000,-169367.34383217,1.1242228e-06,-1.6749450378483743e-05,4.147493839263916,-16.97005640566349,1150
1489,1.220703125e-05,112.31,0.0017,644,0.2,287688672.0,737246642.65,0.015130996704101562,960000,-195307.00117651,0.00032560108,-0.0003222506187739782,4.1529693603515625,-16.975005657970904,1170
1491,0.0,100.44,0.0017,650,0.2,441692640.0,756948698.325,0.03215426206588745,970000,-143834.80861072,1.0559015e-06,-4.811954386241268e-06,4.153367519378662,-16.97817336767912,1180
1492,0.0,113.99,0.0017,656,0.2,237833488.0,746767692.95,0.05939900875091553,980000,-180787.59648192997,2.9813964e-07,-8.252366114902543e-06,4.153791427612305,-16.97871372550726,1190
1494,0.0,98.43,0.0017,662,0.2,474169440.0,794689577.775,0.03875356912612915,990000,-152687.31616768,1.888287e-05,-1.4639631899626693e-05,4.155322551727295,-16.980949464440346,1200
1488,0.0,113.0,0.0017,671,0.2,414279520.0,716798992.9,0.0444483757019043,1000000,-171724.88980889,0.00012859973,-0.00015710632178524974,4.163393974304199,-16.987854154407977,1220
