train/learning_rate,time/fps,train/is_line_search_success,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_objective,rollout/ep_rew_mean,train/value_loss,train/explained_variance,time/total_timesteps,train/std,train/kl_divergence_loss
0.001,2756,1.0,62,184,945.87,0.021116746589541435,-89803.41753012,3164049.13203125,0.0,510000,0.8198991417884827,0.006514801178127527
0.001,2759,1.0,63,188,942.65,0.03646884858608246,-88470.04777856,557584.4385864257,-1.1920928955078125e-07,520000,0.8210086226463318,0.007572960574179888
0.001,2762,1.0,64,191,934.41,0.031083857640624046,-93129.94039755999,154859402.1671875,0.0,530000,0.8187571167945862,0.007070013787597418
0.001,2765,1.0,65,195,902.68,0.04203961044549942,-101778.69091137999,46602553.16445313,-1.1920928955078125e-07,540000,0.8207027912139893,0.006880310829728842
0.001,2756,1.0,67,199,872.8,0.04402455687522888,-87038.72769808002,122629711.61523438,0.0,550000,0.8232510685920715,0.007893618196249008
0.001,2753,1.0,68,203,886.31,0.034688886255025864,-84075.58473407,5141728.953515625,1.7881393432617188e-07,560000,0.8209415078163147,0.00738999480381608
0.001,2755,1.0,69,206,879.09,0.02322286367416382,-82513.99194431001,26138011.697265625,0.0,570000,0.8221220970153809,0.007499247789382935
0.001,2758,1.0,70,210,879.63,0.028394190594553947,-76433.59030512,19435967.596191406,0.0,580000,0.8154333233833313,0.008476397953927517
0.001,2750,1.0,72,214,879.63,0.026641853153705597,-73683.24248563,3776874.24050293,-1.1920928955078125e-07,590000,0.8163174986839294,0.008179484866559505
0.001,2753,1.0,73,217,876.17,0.03119010664522648,-73980.0736594,12930746.783935547,0.0,600000,0.8185680508613586,0.00855859275907278
0.001,2756,1.0,74,221,888.72,0.027846135199069977,-67211.52495996,20099246.0765625,1.1920928955078125e-07,610000,0.8165023326873779,0.008319989778101444
0.001,2759,1.0,75,224,901.95,0.027694132179021835,-61838.368949289994,4774999.126464844,0.0,620000,0.8124867081642151,0.00880486611276865
