train/approx_kl,time/fps,train/loss,train/entropy_loss,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,time/time_elapsed
0.004523307,901,299258816.0,-21.326227383315562,0.0,0.0174560546875,171.85,-0.0004607446295267437,562157359.7625,840000,0.0017,-317660.44368818,8.80346393585205,1020,0.2,931
0.0064251153,903,327633248.0,-21.509648609161378,0.0,0.0313720703125,155.66,-0.00025008630127558716,575115671.325,850000,0.0017,-295120.20868245,9.079401969909668,1030,0.2,940
0.0044757514,905,276791296.0,-21.67026871740818,0.0,0.01805419921875,134.83,-0.00032586554289082414,603400249.9125,860000,0.0017,-280191.57583818,9.327178001403809,1040,0.2,949
0.006236811,903,377665792.0,-21.9915441185236,-1.1920928955078125e-07,0.02864990234375,149.37,-0.0006817980775849719,606702276.675,870000,0.0017,-294927.69150999,9.865623474121094,1060,0.2,963
0.0039336514,905,177385888.0,-22.144444116950034,0.0,0.015771484375,165.24,-7.50170647734194e-05,610622089.1375,880000,0.0017,-322689.66583064006,10.117393493652344,1070,0.2,972
0.0050709024,907,467454432.0,-22.28829704672098,0.0,0.02327880859375,138.91,-0.0010614349666866474,667283520.175,890000,0.0017,-277230.30632484,10.370991706848145,1080,0.2,981
0.0045859776,908,286457632.0,-22.443311366438866,0.0,0.01859130859375,150.31,6.649374354310567e-05,583966337.1,900000,0.0017,-301959.74176071,10.64660930633545,1090,0.2,990
0.005836267,906,327394368.0,-22.76779716461897,0.0,0.0267578125,143.8,-0.0013153536348909256,635729689.5625,910000,0.0017,-295070.92278281,11.248261451721191,1110,0.2,1004
0.0038711694,908,321964448.0,-22.90988734662533,0.0,0.01539306640625,143.95,-0.0006932182875971193,637251337.65,920000,0.0017,-305593.90579495,11.504403114318848,1120,0.2,1013
0.00428612,909,322004160.0,-23.055183418095112,0.0,0.0168701171875,168.33,-8.58561117638601e-05,577120315.6375,930000,0.0017,-336658.73650884,11.786744117736816,1130,0.2,1022
0.0039496543,911,317331808.0,-23.20092240571976,0.0,0.01761474609375,155.43,-0.00024167421970560098,588466676.0,940000,0.0017,-317222.47823208006,12.050315856933594,1140,0.2,1031
0.0039994176,913,290966592.0,-23.33455354720354,0.0,0.01439208984375,154.55,6.264817002374912e-05,645478865.5875,950000,0.0017,-331115.77954043,12.356654167175293,1150,0.2,1040
0.0063353432,910,245548960.0,-23.67741450369358,5.960464477539063e-08,0.026611328125,160.08,-0.0007961057726788567,614583907.9125,960000,0.0017,-338246.14040855994,13.1305513381958,1170,0.2,1053
0.0031642937,912,329501824.0,-23.83051030188799,0.0,0.01070556640625,128.59,2.5269408979511354e-05,677081460.225,970000,0.0017,-281487.75155516,13.415958404541016,1180,0.2,1062
0.0038326334,914,199422496.0,-23.96555131226778,1.7881393432617188e-07,0.0141845703125,144.21,6.813526397309033e-06,644453762.1,980000,0.0017,-303589.79271172005,13.738801002502441,1190,0.2,1071
0.0032923776,915,244362016.0,-24.10671850591898,0.0,0.01170654296875,158.09,0.0006816297900513746,602584926.4625,990000,0.0017,-326241.44891091,14.057197570800781,1200,0.2,1080
0.0044525024,913,328364352.0,-24.417188584804535,5.960464477539063e-08,0.01639404296875,144.68,-0.0005839732482854742,755345015.8625,1000000,0.0017,-319572.61379404995,14.84713077545166,1220,0.2,1094
