train/loss,train/approx_kl,train/policy_gradient_loss,time/time_elapsed,train/learning_rate,train/clip_range,train/std,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,time/fps
664748608.0,0.004601105,-0.0026553770916507347,833,0.0017,0.2,3.6810922622680664,0.0151611328125,-232812.12274554002,-32.5434641867876,1000,1515098429.7,-1.1920928955078125e-07,820000,66.85,984
590227072.0,0.005133019,-0.003141304731434502,842,0.0017,0.2,3.740211248397827,0.02313232421875,-250319.56063223002,-32.730735182762146,1010,1296259460.9,0.0,830000,75.42,985
835772096.0,0.0050801123,-0.0032768120703622118,851,0.0017,0.2,3.802361488342285,0.02008056640625,-231882.14541600994,-32.92373640835285,1020,1583311863.35,-1.1920928955078125e-07,840000,66.84,986
557909632.0,0.0044807447,-0.0030011393211680113,860,0.0017,0.2,3.8609626293182373,0.01612548828125,-268730.79333626,-33.11468565762043,1030,1357336720.2,5.960464477539063e-08,850000,85.38,987
569197376.0,0.0030418523,-0.001379327965514676,870,0.0017,0.2,3.9048421382904053,0.0078369140625,-235105.00161128998,-33.272932034730914,1040,1308481954.65,0.0,860000,74.1,988
969457152.0,0.0044896826,-0.0026072394211951178,883,0.0017,0.2,4.03313684463501,0.01473388671875,-240535.56500709,-33.629843813180926,1060,1335197089.6,0.0,870000,71.63,984
626235776.0,0.0040273713,-0.0025895792929077287,893,0.0017,0.2,4.094742774963379,0.0164794921875,-250870.75003554003,-33.818125885725024,1070,1437001904.3,5.960464477539063e-08,880000,71.78,985
441171904.0,0.0047966912,-0.0030276720110123277,902,0.0017,0.2,4.160094738006592,0.01806640625,-247777.54685545992,-33.99990556240082,1080,1433965026.55,-1.1920928955078125e-07,890000,71.29,986
871562816.0,0.0047198944,-0.0025501659878500505,911,0.0017,0.2,4.232272624969482,0.01484375,-252045.81201901997,-34.198114758729936,1090,1389369943.8,0.0,900000,69.49,987
640396672.0,0.0045268275,-0.0023553776065455166,925,0.0017,0.2,4.357228755950928,0.0158447265625,-255036.34552613995,-34.566518023610115,1110,1322831668.1,0.0,910000,77.14,983
886850752.0,0.0036539817,-0.002447786461925716,934,0.0017,0.2,4.412778854370117,0.01185302734375,-266238.05351288995,-34.72225268781185,1120,1406696664.55,0.0,920000,78.68,984
638110016.0,0.0043986314,-0.002358856669616216,943,0.0017,0.2,4.487611293792725,0.0127197265625,-228596.51754569006,-34.89948864877224,1130,1308114069.45,0.0,930000,64.38,985
576945920.0,0.0041994555,-0.002714835755250533,953,0.0017,0.2,4.552516460418701,0.01492919921875,-280631.24265777,-35.08329373002052,1140,1473199313.85,-1.1920928955078125e-07,940000,80.06,986
631527424.0,0.004704004,-0.002691571398099768,962,0.0017,0.2,4.626533031463623,0.01749267578125,-260200.04729184002,-35.26645550131798,1150,1304956600.0,5.960464477539063e-08,950000,75.47,987
787541696.0,0.0038855681,-0.0017989907551964278,976,0.0017,0.2,4.7630181312561035,0.0111328125,-253978.01987976,-35.616711696982385,1170,1358131304.4,5.960464477539063e-08,960000,72.28,983
806978112.0,0.0045054927,-0.0020869309442787197,985,0.0017,0.2,4.846630096435547,0.0147216796875,-236014.42515690997,-35.812415164709094,1180,1282802563.75,0.0,970000,66.5,984
664839936.0,0.0037889527,-0.0020000476875793537,994,0.0017,0.2,4.919062614440918,0.01202392578125,-284377.38031086,-36.00326420664787,1190,1421495483.85,-1.1920928955078125e-07,980000,82.0,985
534529312.0,0.004193426,-0.0020796606802832686,1003,0.0017,0.2,4.993425369262695,0.01224365234375,-270764.18345144,-36.18192286491394,1200,1358129948.15,0.0,990000,77.46,986
576105920.0,0.0042609796,-0.002001505400312453,1017,0.0017,0.2,5.163528919219971,0.013427734375,-267510.85227989,-36.57326118350029,1220,1353706744.6,-1.1920928955078125e-07,1000000,77.55,982
