train/n_updates,train/clip_range,rollout/ep_len_mean,train/loss,train/approx_kl,time/time_elapsed,train/entropy_loss,train/learning_rate,time/fps,train/explained_variance,time/total_timesteps,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_rew_mean
1070,0.2,10.3,6606719488.0,0.0031702062,1002,-28.120186407864093,0.0017,877,-1.1920928955078125e-07,880000,-0.003213869776300271,0.0091064453125,12318029902.4,1.5829331874847412,-189673.52580325003
1080,0.2,11.91,6030823424.0,0.0023656662,1012,-28.19544684737921,0.0017,878,0.0,890000,-0.002568530588541762,0.00799560546875,12642969884.0,1.5908244848251343,-209842.32543640002
1090,0.2,9.74,6357888000.0,0.0025026074,1023,-28.27261783182621,0.0017,879,5.960464477539063e-08,900000,-0.0023007632678854863,0.006494140625,12680570753.6,1.599371314048767,-184248.06065451
1110,0.2,12.11,6658115072.0,0.0029381907,1037,-28.426207491755484,0.0017,877,-1.1920928955078125e-07,910000,-0.003101233111328838,0.0083984375,12972778089.6,1.6153472661972046,-218446.7606958
1120,0.2,10.2,5957186560.0,0.002940318,1047,-28.49415789693594,0.0017,877,0.0,920000,-0.0032902682872190782,0.0121337890625,12474814668.0,1.6224644184112549,-197010.51776521004
1130,0.2,10.64,5845171712.0,0.0020951054,1058,-28.563520096242428,0.0017,878,0.0,930000,-0.0019675792931593606,0.00244140625,12615406965.6,1.6304539442062378,-200427.90212624002
1140,0.2,10.45,6571967488.0,0.0024738444,1068,-28.640893799066543,0.0017,879,1.1920928955078125e-07,940000,-0.0028564400257891976,0.00380859375,11760001271.2,1.639244794845581,-190151.95954297992
1150,0.2,10.15,5804028928.0,0.0028035436,1078,-28.715228646993637,0.0017,880,-1.1920928955078125e-07,950000,-0.002704573814662581,0.0064453125,11997228913.6,1.646806240081787,-190719.96247238
1170,0.2,9.7,6096950784.0,0.0021608006,1093,-28.863477380573748,0.0017,878,0.0,960000,-0.0021292832712788367,0.00853271484375,12418217068.8,1.6633142232894897,-185478.15900461999
1180,0.2,10.27,6857846784.0,0.0015211366,1103,-28.934404288232326,0.0017,878,5.960464477539063e-08,970000,-0.0013397268057815381,0.00198974609375,11800352204.8,1.6711463928222656,-192147.58397107996
1190,0.2,11.29,6367813120.0,0.00187175,1113,-29.003792221844197,0.0017,879,5.960464477539063e-08,980000,-0.0017665943581960165,0.00439453125,12054078193.6,1.678812026977539,-203287.50522315002
1200,0.2,9.92,5730197504.0,0.0024706293,1124,-29.076288628578187,0.0017,880,1.7881393432617188e-07,990000,-0.0022271376467870143,0.0055908203125,12167191996.8,1.68744957447052,-185164.70335770003
1220,0.2,11.06,5031350784.0,0.00383597,1138,-29.224614779651166,0.0017,878,5.960464477539063e-08,1000000,-0.003916814198964858,0.015478515625,11815364892.8,1.7047854661941528,-201036.99249645
