train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,time/time_elapsed,train/clip_range,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/clip_fraction
-0.0005137914260558319,0.00011587767,43220549632.0,5.960464477539063e-08,960,0.2,790000,81066380582.4,-21.279847483336926,0.0003,960,-455925.7556565199,822,15.89,0.9997108578681946,0.0
-0.0003017728398845065,4.6202164e-05,51945930752.0,-1.1920928955078125e-07,972,0.2,800000,84126357321.6,-21.279605212807656,0.0003,970,-606543.1387233799,823,21.88,0.9996961355209351,0.0
-0.0002217906283476623,4.0434563e-05,42204135424.0,5.960464477539063e-08,983,0.2,810000,80045423344.0,-21.279506731033326,0.0003,980,-554833.20035296,823,19.65,0.9996986389160156,0.0
-0.0005541638607610367,0.000115418414,41368199168.0,-1.1920928955078125e-07,1000,0.2,820000,78108868508.8,-21.28020735383034,0.0003,1000,-457709.64560925995,819,15.97,0.9997802376747131,0.0
-0.00025862141610559773,4.3505825e-05,50157813760.0,1.1920928955078125e-07,1011,0.2,830000,83809697088.0,-21.280815726518632,0.0003,1010,-546264.7246786499,820,19.22,0.9997894763946533,0.0
-0.00023781101608619793,3.604016e-05,42648211456.0,0.0,1022,0.2,840000,88350782617.6,-21.281385433673858,0.0003,1020,-468805.35804726,821,16.73,0.9998560547828674,0.0
-0.0005058679720605141,0.00010737171,45152010240.0,-1.1920928955078125e-07,1033,0.2,850000,84743670364.8,-21.282160392403604,0.0003,1030,-534724.70270226,822,18.77,0.9998911619186401,0.0
-0.00040539284946135014,8.008056e-05,38307377152.0,1.1920928955078125e-07,1044,0.2,860000,86827523190.4,-21.282641233503817,0.0003,1040,-473259.69264633005,823,16.48,0.9999194741249084,0.0
-0.0003639674814621685,7.5319644e-05,45295345664.0,-1.1920928955078125e-07,1059,0.2,870000,84946785478.4,-21.28349786102772,0.0003,1060,-463406.3823763899,821,16.32,0.9999688863754272,0.0
-0.00042170754586550173,8.956555e-05,40329416704.0,5.960464477539063e-08,1070,0.2,880000,80793575056.0,-21.283582703769206,0.0003,1070,-583439.52397886,821,20.95,0.9999670386314392,0.0
-0.0005439912029032712,0.00011918658,45220581376.0,0.0,1081,0.2,890000,84531678508.8,-21.283263435959817,0.0003,1080,-499406.30576994,822,17.19,0.9999247789382935,0.0
-0.0002483164262230275,3.957367e-05,35126820864.0,-1.1920928955078125e-07,1092,0.2,900000,84289270732.8,-21.282749250531197,0.0003,1090,-326839.95322265005,823,11.02,0.9999006986618042,0.0
-0.00031135878361965297,5.0953233e-05,38671552512.0,0.0,1108,0.2,910000,83436977993.6,-21.28275373131037,0.0003,1110,-425285.4787836801,821,14.68,0.9999151825904846,0.0
-0.0002916075705797994,5.1160074e-05,39356284928.0,-1.1920928955078125e-07,1118,0.2,920000,78032472640.0,-21.282747946679592,0.0003,1120,-398827.31738772,822,13.77,0.9999085664749146,0.0
-0.00038767417008784834,8.837075e-05,28459290624.0,0.0,1129,0.2,930000,77870675113.6,-21.28238322585821,0.0003,1130,-389075.3024283099,823,13.48,0.9998685717582703,0.0
-0.0004395459884108277,0.00010018282,36022423552.0,0.0,1140,0.2,940000,80589432348.8,-21.281808060407638,0.0003,1140,-483629.42826275004,824,16.96,0.9998323917388916,0.0
-0.0005210860825172858,0.00010891563,45491765248.0,0.0,1151,0.2,950000,79239792758.4,-21.281833638250827,0.0003,1150,-376719.54562552995,825,12.73,0.9998705983161926,0.0
-0.0004821415474907553,9.6555195e-05,39303139328.0,-1.1920928955078125e-07,1166,0.2,960000,91599780899.2,-21.28120640963316,0.0003,1170,-589580.1377061801,823,20.91,0.9997644424438477,0.0
-0.00021728874398831976,3.078117e-05,44989759488.0,1.1920928955078125e-07,1177,0.2,970000,80225953206.4,-21.279973936080932,0.0003,1180,-411357.36616217,824,14.18,0.9996902346611023,0.0
-0.00040829234931152316,6.3198604e-05,39070990336.0,5.960464477539063e-08,1187,0.2,980000,80785713740.8,-21.279369293153287,0.0003,1190,-452710.7656334799,824,15.76,0.9996861815452576,0.0
-0.0002577685645519523,4.7359725e-05,30831552512.0,0.0,1198,0.2,990000,74343424771.2,-21.279578915238382,0.0003,1200,-472452.10046078,825,16.3,0.9997147917747498,0.0
-0.0004014499449112918,9.30995e-05,35270471680.0,0.0,1213,0.2,1000000,73441043129.6,-21.27990079522133,0.0003,1220,-389253.44219714,823,13.18,0.999702513217926,0.0
