train/clip_fraction,train/n_updates,rollout/ep_rew_mean,train/loss,train/clip_range,time/fps,train/std,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/value_loss
2.44140625e-05,650,-192438.63100642004,2358672640.0,0.2,1561,0.990523099899292,345,-12.685845912247895,0.0,0.00079138594,-0.001107152491204033,540000,38.1,0.0003,4867504649.8
3.662109375e-05,670,-174179.80475165,2611623168.0,0.2,1551,0.9902330040931702,354,-12.682425525784492,0.0,0.0010585244,-0.001398633577628061,550000,31.08,0.0003,5128798319.2
0.0,680,-171932.25387142,1958526976.0,0.2,1553,0.9901300072669983,360,-12.680866998434066,0.0,0.00048057083,-0.0008570192100705754,560000,33.53,0.0003,4784271423.2
0.0,690,-179265.7168789,2500599808.0,0.2,1555,0.989629328250885,366,-12.678097054362297,0.0,0.0002766805,-0.0007785323936332133,570000,34.17,0.0003,5156804629.8
0.0,700,-186812.68941202998,2426986496.0,0.2,1557,0.9894164204597473,372,-12.674860464781522,0.0,0.0004071772,-0.0007896021630585892,580000,34.6,0.0003,4856189100.4
0.0,720,-173927.86812367997,2488798208.0,0.2,1548,0.9890272617340088,380,-12.670825181901455,0.0,0.00038315268,-0.0006331228194540017,590000,32.38,0.0003,5101877983.0
0.0,730,-166332.89202049997,2361418752.0,0.2,1551,0.9889617562294006,386,-12.669914559274911,-1.1920928955078125e-07,0.0005860122,-0.0009005779762446764,600000,31.41,0.0003,4924433377.6
0.0,740,-169024.11025349997,2353017600.0,0.2,1553,0.9887568950653076,392,-12.668680749833584,0.0,0.0002897886,-0.0006124967918367475,610000,30.25,0.0003,4800469230.0
0.0,750,-163734.42307614,2106505856.0,0.2,1555,0.988892138004303,398,-12.66834749430418,0.0,0.00025406544,-0.0006411834927348536,620000,30.47,0.0003,4979480826.8
0.0,760,-158408.62508871,2273057280.0,0.2,1557,0.9885421395301819,404,-12.6674342520535,5.960464477539063e-08,0.0005308101,-0.000944283489297959,630000,29.39,0.0003,4787915166.4
0.0,780,-169970.45042657002,2826975488.0,0.2,1548,0.9883072972297668,413,-12.664124620705843,5.960464477539063e-08,0.0008485051,-0.0012484489137932543,640000,30.39,0.0003,5088022612.2
0.0,790,-173687.78511752002,2456651264.0,0.2,1550,0.9880062937736511,419,-12.662307600677014,5.960464477539063e-08,0.0008879108,-0.0012724061276458087,650000,33.47,0.0003,5124084704.6
0.0,800,-164169.13202597003,2662099968.0,0.2,1552,0.9877549409866333,425,-12.659749000519515,5.960464477539063e-08,0.00022431038,-0.000547484538583376,660000,32.16,0.0003,4799677763.0
8.544921875e-05,810,-157081.91442301002,2436837888.0,0.2,1554,0.9878383278846741,431,-12.658965082466603,0.0,0.0012232602,-0.0015165651604547748,670000,26.38,0.0003,5020494050.2
0.0,830,-168717.08776443,2277196800.0,0.2,1546,0.9874367117881775,439,-12.657217194885016,0.0,0.00039097614,-0.0008133761756653257,680000,34.02,0.0003,4755992683.2
8.544921875e-05,840,-159145.3337483,2287002624.0,0.2,1548,0.9873003363609314,445,-12.655003084987403,0.0,0.001493976,-0.0018972970279719447,690000,30.96,0.0003,4813307218.2
0.0,850,-174722.34013026996,2609621248.0,0.2,1550,0.9871641993522644,451,-12.653671756386757,0.0,0.0008753564,-0.0013779300168607733,700000,34.27,0.0003,4837250795.2
0.0,860,-160874.45395442,2579656960.0,0.2,1551,0.9868618845939636,457,-12.651704543083905,5.960464477539063e-08,0.0002959249,-0.0006592114855266118,710000,31.58,0.0003,5021277463.2
0.0,870,-149310.1074076,2308932608.0,0.2,1553,0.98651123046875,463,-12.64876788109541,0.0,0.0009173071,-0.0012647763148379454,720000,28.11,0.0003,4711648356.8
0.0,890,-167550.54624737002,2428535552.0,0.2,1546,0.9860338568687439,472,-12.643144270032645,0.0,0.0010926286,-0.0014316628828964894,730000,33.25,0.0003,4731818940.6
0.0,900,-168521.84263137,2490496512.0,0.2,1547,0.9858522415161133,478,-12.641879155486823,0.0,0.0011786736,-0.0015002044985521934,740000,34.72,0.0003,4949332626.4
0.0,910,-150788.75167659,2378355712.0,0.2,1549,0.9859548211097717,484,-12.641491677612066,1.1920928955078125e-07,0.0005582863,-0.0009617705418349942,750000,27.79,0.0003,4747827947.0
0.0,920,-148447.09017317998,2583001088.0,0.2,1551,0.9858394265174866,489,-12.641459795087576,0.0,0.00051700574,-0.0008462240207336436,760000,29.84,0.0003,4776675437.2
1.220703125e-05,930,-149966.72194366003,1957045248.0,0.2,1552,0.9855107069015503,495,-12.639419617503881,0.0,0.0008884465,-0.0011569601584596966,770000,29.89,0.0003,4595126218.0
1.220703125e-05,950,-165295.03688281,2289809152.0,0.2,1545,0.9855784177780151,504,-12.638456422090531,-1.1920928955078125e-07,0.00070518744,-0.0009725657548187883,780000,33.34,0.0003,4645621314.6
0.0,960,-160139.97786527002,2249685248.0,0.2,1547,0.9852431416511536,510,-12.636944903433323,-1.1920928955078125e-07,0.00068281835,-0.0009886018464385416,790000,32.65,0.0003,4651505091.8
0.0,970,-159894.99486436,2145915392.0,0.2,1548,0.9849785566329956,516,-12.634143032878637,0.0,0.0006963357,-0.0010575139279353607,800000,34.61,0.0003,4834805390.2
0.0,980,-153418.60099655998,1972065792.0,0.2,1550,0.9847737550735474,522,-12.631930132210254,0.0,0.00050104206,-0.0009156862862255366,810000,31.5,0.0003,4707404266.4
7.32421875e-05,1000,-146962.19615454,2447099904.0,0.2,1543,0.9846171140670776,531,-12.628761745244265,0.0,0.0013611651,-0.0012651955756155075,820000,28.53,0.0003,4555015896.2
0.0,1010,-150564.79509996998,2463851264.0,0.2,1545,0.9842219948768616,537,-12.627606801688671,0.0,0.00073304813,-0.001163636770525045,830000,31.4,0.0003,4706385936.2
0.0,1020,-155382.65411575,2228250624.0,0.2,1546,0.9840043187141418,543,-12.624781206995248,0.0,0.0006568491,-0.0008868292420629587,840000,30.27,0.0003,4374885696.0
0.0,1030,-142825.4277579,2339063296.0,0.2,1548,0.9838942289352417,549,-12.62332807853818,0.0,0.00021708744,-0.0005591519024164881,850000,29.06,0.0003,4575570495.8
0.0,1040,-142046.57934407002,2316739328.0,0.2,1549,0.9835374355316162,555,-12.62114279717207,0.0,0.0012036586,-0.0013572789677709807,860000,29.67,0.0003,4461441989.0
1.220703125e-05,1060,-149421.41044813,2191866624.0,0.2,1543,0.9827407002449036,563,-12.612883389741182,0.0,0.0010016432,-0.0008621322029284783,870000,31.69,0.0003,4488685966.8
0.0,1070,-157569.2745382,2270227456.0,0.2,1544,0.98238605260849,569,-12.610542380064725,1.1920928955078125e-07,0.00022819219,-0.0005500020035469789,880000,31.74,0.0003,4526383206.6
0.0,1080,-149021.73440438,2497347328.0,0.2,1545,0.9823673963546753,575,-12.608736446499824,5.960464477539063e-08,0.00035868696,-0.0007318601766201027,890000,27.55,0.0003,4633434058.0
0.0,1090,-144181.60289409998,2425963520.0,0.2,1547,0.9820800423622131,581,-12.607339257746935,0.0,0.00048899406,-0.0007505325472266123,900000,29.2,0.0003,4572861184.4
0.00013427734375,1110,-160605.64384457,2052434048.0,0.2,1541,0.9815371632575989,590,-12.603248915821315,0.0,0.0013822016,-0.0014234968128221225,910000,33.31,0.0003,4613919500.0
0.0,1120,-154615.70204494998,2411555328.0,0.2,1542,0.9811105728149414,596,-12.598969243466854,0.0,0.00047230534,-0.0008185777318431064,920000,30.19,0.0003,4689083737.2
0.00037841796875,1130,-140587.96699305,2122182016.0,0.2,1543,0.9809341430664062,602,-12.596164462715388,0.0,0.0016227714,-0.0013442632072838024,930000,29.38,0.0003,4547495710.2
0.000732421875,1140,-159441.66629945,2018164864.0,0.2,1545,0.980815052986145,608,-12.594803904742003,-1.1920928955078125e-07,0.0021085313,-0.001973515297504491,940000,34.23,0.0003,4462137711.8
0.0,1150,-158580.99686970998,2530124800.0,0.2,1546,0.980683445930481,614,-12.593552013486624,0.0,0.00079124514,-0.0011190063461981481,950000,33.17,0.0003,4373163469.8
0.0,1170,-154174.14786772002,2440531200.0,0.2,1540,0.9802684783935547,623,-12.589682495594024,0.0,0.00083183835,-0.0010301624676685606,960000,29.63,0.0003,4741215420.0
4.8828125e-05,1180,-142116.7833276,2328671488.0,0.2,1541,0.9801051020622253,629,-12.588319452106953,0.0,0.001311789,-0.0014278400150942617,970000,28.77,0.0003,4422747960.2
0.0,1190,-151860.43330259,2289998336.0,0.2,1543,0.9799057841300964,635,-12.586636048555373,0.0,0.00043199715,-0.0007241982058985741,980000,34.05,0.0003,4426103111.0
0.0,1200,-151664.08218767997,2455267328.0,0.2,1544,0.9793277382850647,641,-12.58309784606099,0.0,0.0009177601,-0.0012230340400492424,990000,29.75,0.0003,4258894089.6
0.0,1220,-150150.93816508,2635937024.0,0.2,1538,0.9791420698165894,649,-12.578829430043697,0.0,0.0005495491,-0.0007931389709483483,1000000,30.35,0.0003,4437407329.2
