train/policy_gradient_loss,time/fps,train/learning_rate,train/value_loss,train/loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,time/time_elapsed,train/explained_variance,train/n_updates,train/std,train/approx_kl,train/clip_range
-0.0012662977758736815,976,0.0003,2980817945.2,1452514944.0,-193119.69765717,800000,58.55,0.00010986328125,-8.400687964260579,819,0.0,970,0.9815030694007874,0.0015442373,0.2
-0.0028561701914441074,977,0.0003,2872065738.9,1738790272.0,-213130.29155942,810000,66.91,0.0068359375,-8.40060715675354,828,0.0,980,0.9815165400505066,0.003821916,0.2
-0.0009854303811152932,972,0.0003,2706040761.1,1267252480.0,-216496.33938071,820000,71.34,0.0,-8.396295070648193,842,0.0,1000,0.9804336428642273,0.0010827703,0.2
-0.0011828987393528224,974,0.0003,2754386129.0,1462362624.0,-198654.32930577002,830000,66.22,0.000439453125,-8.393275759369136,852,0.0,1010,0.980202853679657,0.0019805464,0.2
-0.0013851574512955267,975,0.0003,2864969230.0,1411464832.0,-216353.72422149003,840000,71.1,0.0003173828125,-8.390988086163997,861,0.0,1020,0.979728639125824,0.0019324409,0.2
-0.0005497216303410824,976,0.0003,2871592340.4,1316103680.0,-186531.12139580003,850000,63.63,0.0,-8.387795396149158,870,1.1920928955078125e-07,1030,0.9791623950004578,0.00050264737,0.2
-0.0006986313124798471,977,0.0003,2674904128.8,1318393600.0,-187544.46550067997,860000,61.78,4.8828125e-05,-8.3846466653049,880,0.0,1040,0.9787055850028992,0.0011559498,0.2
-0.0002858190386177739,972,0.0003,2775373612.2,1501918720.0,-188187.94137490998,870000,63.46,0.0,-8.377967106550932,894,0.0,1060,0.97746342420578,0.00029629044,0.2
-0.0008067876291534048,973,0.0003,2666009343.8,1293590016.0,-211098.57456493005,880000,75.05,0.0,-8.373239600658417,903,0.0,1070,0.9766638278961182,0.00090263796,0.2
-0.0009399020683304116,974,0.0003,2654531715.0,1298052352.0,-187763.94918732002,890000,61.3,6.103515625e-05,-8.369788718223571,912,-1.1920928955078125e-07,1080,0.9763517379760742,0.0012418084,0.2
