rollout/ep_len_mean,train/n_updates,train/std,train/policy_objective,train/kl_divergence_loss,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/is_line_search_success,train/explained_variance,train/learning_rate,train/value_loss
116.64,65,0.8374354243278503,0.030228616669774055,0.009797200560569763,1516,356,540000,72893.68081359,1.0,0.04405224323272705,0.001,869369826.7
98.42,67,0.8355010151863098,0.03113437071442604,0.008946970105171204,1511,363,550000,81650.94154326,1.0,0.08124387264251709,0.001,809822163.9
98.41,68,0.8353528380393982,0.02980424091219902,0.006864016875624657,1513,370,560000,88019.19042995,1.0,0.10351729393005371,0.001,780069424.7
121.03,69,0.8377724289894104,0.03057134710252285,0.009268042631447315,1515,376,570000,72382.56829898001,1.0,0.07337546348571777,0.001,946995933.0
151.82,70,0.8396235108375549,0.02112092636525631,0.00718622887507081,1516,382,580000,59215.68815558001,1.0,0.09082472324371338,0.001,524844832.175
165.52,72,0.8372883796691895,0.020646855235099792,0.006788089871406555,1510,390,590000,65887.16217510999,1.0,0.13109689950942993,0.001,516000749.125
111.07,73,0.8365246653556824,0.020537743344902992,0.006783793214708567,1511,396,600000,93417.31492562,1.0,0.08826816082000732,0.001,839481560.15
108.07,74,0.8370963931083679,0.025020722299814224,0.009977303445339203,1513,403,610000,83835.1764102,1.0,0.07383465766906738,0.001,898506156.9
87.12,75,0.8354310989379883,0.03662848845124245,0.008471723645925522,1514,409,620000,91672.86718774,1.0,0.103779137134552,0.001,784554302.2
95.13,76,0.8328864574432373,0.027990372851490974,0.0065467883832752705,1515,415,630000,94093.63828461998,1.0,0.07702016830444336,0.001,1010913147.7
73.45,78,0.830317497253418,0.02964441105723381,0.00847297627478838,1511,423,640000,104528.84432697,1.0,0.11178141832351685,0.001,1049054623.0
63.12,79,0.8317928314208984,0.025631442666053772,0.0064743454568088055,1511,429,650000,109360.58536725,1.0,0.10252249240875244,0.001,1169152580.0
69.13,80,0.8300743103027344,0.026271946728229523,0.0066661653108894825,1512,436,660000,103228.98466862,1.0,0.0972333550453186,0.001,1316362849.1
41.33,81,0.8246693015098572,0.01994861476123333,0.007584498729556799,1513,442,670000,120322.91040942,1.0,0.080599844455719,0.001,1161650852.7
59.15,83,0.817570149898529,0.03113723173737526,0.009855881333351135,1509,450,680000,103361.87361834999,1.0,0.07852721214294434,0.001,1510301704.9
94.57,84,0.8209789395332336,0.0320163294672966,0.008980052545666695,1510,456,690000,87724.5122315,1.0,0.10931503772735596,0.001,847380349.8
97.76,85,0.8227982521057129,0.029192456975579262,0.009299182333052158,1511,463,700000,94170.65296962,1.0,0.1240125298500061,0.001,1010697278.6
94.38,86,0.8198167681694031,0.02223612368106842,0.008364572189748287,1513,469,710000,101992.16913256001,1.0,0.16514885425567627,0.001,574594679.75
104.34,87,0.8229065537452698,0.019181299954652786,0.007430281490087509,1513,475,720000,89202.36903301999,1.0,0.12834280729293823,0.001,1059150678.1
85.19,89,0.8131739497184753,0.025362268090248108,0.009540408849716187,1510,483,730000,102127.83391039999,1.0,0.15286129713058472,0.001,1089283772.4
40.64,90,0.8091606497764587,0.026030056178569794,0.006453657057136297,1510,489,740000,118426.77335718,1.0,0.07087725400924683,0.001,1589861155.9
51.91,91,0.806629478931427,0.030099593102931976,0.009014180861413479,1511,496,750000,109248.42955674998,1.0,0.1129196286201477,0.001,1279324175.9
52.2,92,0.8006927967071533,0.028050575405359268,0.008272203616797924,1512,502,760000,111835.12316054999,1.0,0.0356406569480896,0.001,2097374392.8
53.26,93,0.8028285503387451,0.018025554716587067,0.008370538242161274,1513,508,770000,110958.57293766999,1.0,6.431341171264648e-05,0.001,1393213389.1
50.47,95,0.800433874130249,0.02393440529704094,0.006700719241052866,1508,517,780000,114049.27533224999,1.0,0.08699685335159302,0.001,1858791163.4
40.26,96,0.7935925126075745,0.028490252792835236,0.00950781162828207,1508,523,790000,118079.54368898,1.0,0.06321835517883301,0.001,1889405375.8
43.22,97,0.7889512181282043,0.027311040088534355,0.00881318747997284,1509,529,800000,122488.75521405,1.0,0.13580793142318726,0.001,2032924604.6
33.18,98,0.7889017462730408,0.02503785863518715,0.00662327790632844,1509,536,810000,126552.24718954999,1.0,0.1421496868133545,0.001,1806048389.8
48.52,100,0.7879648208618164,0.02289973944425583,0.007210270967334509,1506,544,820000,113022.10576841001,1.0,0.12355732917785645,0.001,1996641444.0
72.1,101,0.782595157623291,0.023836376145482063,0.009773516096174717,1506,550,830000,111120.19124613,1.0,0.1458790898323059,0.001,1343420064.5
106.49,102,0.778657853603363,0.022135650739073753,0.007203115615993738,1508,557,840000,83427.88793922,1.0,0.16859674453735352,0.001,1013891112.1
71.19,103,0.7778396606445312,0.02355227619409561,0.006454802583903074,1508,563,850000,102765.26994949,1.0,0.17621451616287231,0.001,858511405.45
93.44,104,0.7810781002044678,0.029314562678337097,0.00962244626134634,1509,569,860000,43559.16397996,1.0,0.16214793920516968,0.001,1133305345.8
64.95,106,0.7796264290809631,0.023070266470313072,0.008502068929374218,1505,577,870000,112926.86869547,1.0,0.16849178075790405,0.001,1457013874.7
81.93,107,0.778367280960083,0.019009031355381012,0.009771357290446758,1506,584,880000,96655.84880047999,1.0,0.1914852261543274,0.001,1026181145.1
87.31,108,0.7759268879890442,0.02671080268919468,0.009743773378431797,1507,590,890000,78105.63984342,1.0,0.13271909952163696,0.001,1318514367.0
64.31,109,0.7758469581604004,0.022571107372641563,0.009951391257345676,1508,596,900000,113063.10601729,1.0,0.1940828561782837,0.001,1035117395.4
55.35,111,0.7771579623222351,0.024368101730942726,0.009904634207487106,1504,604,910000,117748.50749384,1.0,0.15367603302001953,0.001,1427979102.2
44.55,112,0.775795042514801,0.026455560699105263,0.009832213632762432,1505,611,920000,121988.01011351001,1.0,0.1315898895263672,0.001,1398829159.8
40.04,113,0.7682451605796814,0.02379550412297249,0.008852261118590832,1505,617,930000,122105.78849993001,1.0,0.0843656063079834,0.001,1843694003.4
66.06,114,0.7689588665962219,0.024790216237306595,0.009468617849051952,1506,623,940000,109450.42830985,1.0,0.08849406242370605,0.001,1471607944.2
41.22,115,0.7643290162086487,0.024444423615932465,0.00873146764934063,1507,630,950000,122779.87179298,1.0,0.10073024034500122,0.001,1694615869.6
69.01,117,0.7615327835083008,0.01652875356376171,0.006440356839448214,1504,638,960000,115941.98281622,1.0,0.21008074283599854,0.001,1494757699.5
33.79,118,0.7588439583778381,0.02660321444272995,0.00849096942692995,1504,644,970000,127043.89579670999,1.0,0.1158062219619751,0.001,2385665497.4
48.7,119,0.7569961547851562,0.028427138924598694,0.009649124927818775,1504,651,980000,113273.13082828,1.0,0.061037421226501465,0.001,2096437814.4
59.94,120,0.7519152164459229,0.027668341994285583,0.00682656979188323,1504,657,990000,67106.34926905,1.0,0.15017169713974,0.001,2448587265.0
39.23,122,0.749966561794281,0.02766486629843712,0.009657692164182663,1501,666,1000000,121976.35473942,1.0,0.14659076929092407,0.001,2445284682.8
