train/ent_coef_loss,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/ent_coef,eval/mean_ep_length,eval/mean_reward
-0.09989914298057556,-912.5669555664062,131306,0.001,1903.1108468600003,9677.6240234375,17.24,3128,49188,335,1050552,0.6581465005874634,,
-0.05864599719643593,-894.852294921875,131319,0.001,1903.6401774699998,6830.9453125,17.18,3129,49192,335,1050656,0.6575453877449036,,
-0.2310178577899933,-868.819580078125,131323,0.001,1902.2632615100001,5808.02685546875,17.25,3129,49196,335,1050688,0.6570286750793457,,
-0.27605611085891724,-935.418701171875,131337,0.001,1901.3945758599998,5708.83203125,17.3,3129,49200,335,1050800,0.655907928943634,,
0.07854574918746948,-936.6556396484375,131348,0.001,1899.91635269,8096.2626953125,17.44,3130,49204,335,1050888,0.6546961069107056,,
0.16286805272102356,-843.1337280273438,131355,0.001,1897.6996667899998,12141.5703125,17.53,3130,49208,335,1050944,0.6543141603469849,,
0.1349959373474121,-931.98388671875,131365,0.001,1897.5972398499998,10898.283203125,17.51,3130,49212,335,1051024,0.6537953615188599,,
0.07168129086494446,-837.8990478515625,131377,0.001,1897.2537458499999,18482.23828125,17.55,3130,49216,335,1051120,0.6538156270980835,,
0.1841968297958374,-896.1826171875,131386,0.001,1896.5604943899996,16673.234375,17.59,3131,49220,335,1051192,0.6540690064430237,,
0.16879329085350037,-911.001708984375,131393,0.001,1881.93665434,6653.9111328125,18.22,3131,49224,335,1051248,0.6543217897415161,,
0.18896952271461487,-966.8956298828125,131402,0.001,1910.2248517599999,13409.7431640625,18.42,3131,49228,335,1051320,0.6549111008644104,,
0.21369168162345886,-832.70068359375,131413,0.001,1916.46233841,9921.853515625,18.18,3131,49232,335,1051408,0.6561621427536011,,
0.23802489042282104,-889.591796875,131418,0.001,1916.5960077200004,8962.5546875,18.19,3131,49236,335,1051448,0.656481921672821,,
0.3481251299381256,-862.4287109375,131431,0.001,1889.2541608200002,9569.7294921875,18.27,3132,49240,335,1051552,0.6583907604217529,,
0.2213994264602661,-918.2217407226562,131442,0.001,1888.2210265800002,5768.744140625,18.42,3132,49244,335,1051640,0.659716010093689,,
-0.0992555022239685,-917.529052734375,131447,0.001,1916.25611937,27124.30078125,18.23,3132,49248,335,1051680,0.6606383323669434,,
0.1895749419927597,-824.433349609375,131464,0.001,1913.5832608100004,17957.693359375,18.36,3133,49252,335,1051816,0.6628214120864868,,
0.17359064519405365,-860.50244140625,131478,0.001,1908.8627652399998,7730.9130859375,18.73,3133,49256,335,1051928,0.6643520593643188,,
0.10186134278774261,-853.4151611328125,131487,0.001,1903.1574086299997,8489.392578125,19.21,3133,49260,335,1052000,0.6652935147285461,,
-0.010003700852394104,-870.2518920898438,131501,0.001,1864.9584820100001,13870.939453125,19.6,3134,49264,335,1052112,0.6662750840187073,,
0.14004269242286682,-968.754638671875,131508,0.001,1944.10654843,9731.7001953125,19.03,3134,49268,335,1052168,0.6664941310882568,,
-0.09603653848171234,-893.2192993164062,131519,0.001,1942.1898376099998,9425.927734375,19.15,3134,49272,335,1052256,0.6669704914093018,,
-0.09989809989929199,-904.866943359375,131530,0.001,1939.09355347,5960.658203125,19.39,3134,49276,335,1052344,0.6667238473892212,,
-0.22362832725048065,-805.3981323242188,131534,0.001,1939.16906321,7302.244140625,19.39,3135,49280,335,1052376,0.6665225625038147,,
0.001984270289540291,-867.336669921875,131547,0.001,1939.1438577000006,16027.078125,19.34,3135,49284,335,1052480,0.6649188995361328,,
-0.09087862819433212,-823.7986450195312,131550,0.001,1938.0127302800001,10561.7021484375,19.45,3135,49288,335,1052504,0.6644603610038757,,
-0.27020299434661865,-881.2472534179688,131562,0.001,1937.8843424800004,9839.375,19.32,3135,49292,335,1052600,0.6626535058021545,,
-0.33637017011642456,-917.8558959960938,131575,0.001,1938.41283223,5314.39404296875,19.3,3136,49296,335,1052704,0.6597471833229065,,
-0.23505747318267822,-939.5357666015625,131588,0.001,1938.4380679100002,15869.8701171875,19.31,3136,49300,335,1052808,0.6569790840148926,,
-0.11604387313127518,-944.5899658203125,131606,0.001,1939.6653488300005,11168.59375,19.32,3137,49304,335,1052952,0.652747392654419,,
-0.15343435108661652,-899.07421875,131616,0.001,1940.2686920400001,11681.537109375,19.5,3137,49308,335,1053032,0.650627851486206,,
-0.014176078140735626,-945.5809326171875,131637,0.001,1904.76745394,7900.9423828125,20.26,3138,49312,335,1053200,0.6460179686546326,,
-0.1380206048488617,-827.742431640625,131653,0.001,1900.8388648300001,14323.310546875,20.43,3138,49316,335,1053328,0.6432179808616638,,
-0.20356374979019165,-785.8865356445312,131661,0.001,1896.8885374199997,13696.13671875,20.64,3138,49320,335,1053392,0.6425390839576721,,
0.011549554765224457,-971.966064453125,131673,0.001,1881.0658874300007,8032.400390625,20.81,3139,49324,335,1053488,0.6410108804702759,,
-0.12488521635532379,-863.7432861328125,131684,0.001,1860.28663712,8829.845703125,21.1,3139,49328,335,1053576,0.6394970417022705,,
-0.04643133655190468,-893.5030517578125,131690,0.001,1861.1601744,6356.046875,21.01,3139,49332,335,1053624,0.6389027833938599,,
-0.18978889286518097,-883.769287109375,131699,0.001,1808.5100686899998,20970.576171875,22.31,3139,49336,335,1053696,0.6379300951957703,,
-0.05457525700330734,-876.2415771484375,131705,0.001,1810.5396421999997,11093.349609375,22.14,3139,49340,335,1053744,0.6372655630111694,,
