rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_objective,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/std,train/learning_rate,train/n_updates,train/value_loss,time/total_timesteps,time/fps
-69615.98824758,752.4,0.03485633060336113,0.0,0.0071387565694749355,1.0,457,0.751031219959259,0.0013,91,51743880.05,750000,1640
-39834.19511262,731.48,0.0332915261387825,0.0,0.0075441207736730576,1.0,462,0.7479897141456604,0.0013,92,79615364.084375,760000,1641
-39228.045712009996,727.22,0.027143821120262146,1.7881393432617188e-07,0.007691184524446726,1.0,468,0.7469059824943542,0.0013,93,45726675.86171875,770000,1642
-17194.826226959998,653.6,0.034714434295892715,-1.1920928955078125e-07,0.008047563023865223,1.0,476,0.7456957697868347,0.0013,95,251741178.4,780000,1638
-4546.459728430002,549.78,0.03123045153915882,0.0,0.007421078160405159,1.0,481,0.7449318766593933,0.0013,96,302981917.83125,790000,1639
26871.597023440005,388.38,0.03457958996295929,5.960464477539063e-08,0.008657190017402172,1.0,487,0.7402028441429138,0.0013,97,259819497.0,800000,1640
64030.53946951,245.29,0.024517910555005074,0.0,0.007761359680444002,1.0,493,0.7397648692131042,0.0013,98,406728128.35,810000,1640
74876.06610875,209.4,0.031732670962810516,-1.1920928955078125e-07,0.009346778504550457,1.0,500,0.7345317006111145,0.0013,100,296027521.425,820000,1637
76922.66313691,182.95,0.021312793716788292,0.04888606071472168,0.006892497185617685,1.0,506,0.7338598370552063,0.0013,101,598329293.075,830000,1637
106999.65592712002,126.59,0.02997669391334057,0.045017361640930176,0.009170073084533215,1.0,512,0.7387752532958984,0.0013,102,633584672.825,840000,1638
92626.54746428001,145.97,0.022540051490068436,0.033860862255096436,0.00974122155457735,1.0,518,0.7437431812286377,0.0013,103,539853770.55,850000,1639
75794.63085417998,172.44,0.023370875045657158,0.05169975757598877,0.006975231226533651,1.0,524,0.742956817150116,0.0013,104,665405474.1,860000,1640
121127.92064211,84.1,0.023123053833842278,0.07993108034133911,0.009272596798837185,1.0,531,0.7409555912017822,0.0013,106,995199259.0,870000,1636
110887.93932187,97.79,0.01862390525639057,0.003053724765777588,0.006712374743074179,1.0,537,0.743433952331543,0.0013,107,931080270.7,880000,1637
92591.08665143001,155.62,0.02739645540714264,-0.0026209354400634766,0.007748185191303492,1.0,543,0.7412610054016113,0.0013,108,576682535.95,890000,1637
101324.86736989,143.02,0.023530077189207077,1.0132789611816406e-06,0.009190655313432217,1.0,549,0.743060290813446,0.0013,109,485296253.125,900000,1638
117218.69067434,73.1,0.0233573280274868,-1.6808509826660156e-05,0.009151321835815907,1.0,556,0.7442278265953064,0.0013,111,1315795396.7,910000,1634
114313.64051879,74.66,0.01739303395152092,7.152557373046875e-07,0.008524278178811073,1.0,562,0.7363771796226501,0.0013,112,1393166780.8,920000,1634
123595.95321233998,54.27,0.021930616348981857,-3.802776336669922e-05,0.009342260658740997,1.0,568,0.7370273470878601,0.0013,113,1585354550.6,930000,1635
124721.21318686,50.12,0.01972184330224991,0.0,0.00937923975288868,1.0,574,0.7333152294158936,0.0013,114,1533183173.4,940000,1635
110747.13496320999,66.32,0.027892671525478363,1.1920928955078125e-07,0.009551371447741985,1.0,580,0.7395604252815247,0.0013,115,1528630601.4,950000,1636
107916.89640968,115.48,0.01583489589393139,9.894371032714844e-06,0.006832882761955261,1.0,587,0.7362106442451477,0.0013,117,781453173.55,960000,1632
94959.72741712998,159.13,0.02519022300839424,0.08114588260650635,0.009950026869773865,1.0,593,0.7384834885597229,0.0013,118,526048906.175,970000,1633
96840.94435926998,170.16,0.021274374797940254,0.09723591804504395,0.00964712630957365,1.0,599,0.7355781197547913,0.0013,119,404155577.15,980000,1634
112248.78272948999,128.15,0.03139844909310341,0.11434859037399292,0.009627962484955788,1.0,605,0.7315952181816101,0.0013,120,718103439.45,990000,1634
112839.95347387,107.78,0.024677280336618423,0.09852594137191772,0.00878121331334114,1.0,613,0.7302150726318359,0.0013,122,732182149.0,1000000,1631
