train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/std,rollout/ep_len_mean,train/loss,time/total_timesteps,time/time_elapsed,train/approx_kl,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean
-0.0003038537686734344,0.2,0.0,0.0003,-17.01938435435295,35382005886.4,0.9993429183959961,38.38,17916739584.0,680000,775,7.128439e-05,876,-1.1920928955078125e-07,830,-571470.15518395
-0.000375376559986762,0.2,0.0,0.0003,-17.018631698191165,35712341604.8,0.99922114610672,44.11,17572995072.0,690000,786,9.165094e-05,877,0.0,840,-643566.1478580701
-0.0003553361953890999,0.2,0.0,0.0003,-17.01774396896362,37050839814.4,0.9991955757141113,43.95,16842096640.0,700000,796,8.481288e-05,878,1.1920928955078125e-07,850,-641352.8971920799
-0.0005177600823117245,0.2,0.0,0.0003,-17.01693483889103,36656117284.8,0.9990828633308411,51.36,18253748224.0,710000,807,0.00013245441,879,-1.1920928955078125e-07,860,-737683.39368153
-0.00035961922385467914,0.2,0.0,0.0003,-17.016076643764972,36716192148.8,0.9990556836128235,47.06,18382710784.0,720000,817,8.322207e-05,880,1.1920928955078125e-07,870,-678923.5941072201
-0.00028178446032143254,0.2,0.0,0.0003,-17.015484721958636,37894236473.6,0.9989953637123108,45.8,18286661632.0,730000,832,5.4600627e-05,876,0.0,890,-674338.0505253699
-0.00030825888807157754,0.2,0.0,0.0003,-17.01553145945072,34954251208.0,0.9990553259849548,51.25,18309066752.0,740000,843,7.046334e-05,877,0.0,900,-741373.48709235
-0.00037958338180033024,0.2,0.0,0.0003,-17.015586523711683,36458547945.6,0.9990060925483704,44.58,19428952064.0,750000,853,9.499038e-05,878,0.0,910,-648026.26220499
-0.00022206257126526906,0.2,0.0,0.0003,-17.015476067364215,35687499464.0,0.9990323185920715,46.55,17323008000.0,760000,863,3.7934573e-05,879,0.0,920,-679465.1111260899
-0.0004199810682621319,0.2,0.0,0.0003,-17.01536058038473,34712641433.6,0.9989839196205139,47.0,17964374016.0,770000,874,0.00010111481,880,0.0,930,-678130.1476770702
-0.0005185290128792985,0.2,0.0,0.0003,-17.01533859670162,35317854992.0,0.9990178942680359,40.56,19103674368.0,780000,889,0.00013109189,876,0.0,950,-600698.8005083599
-0.000361742995937675,0.2,0.0,0.0003,-17.015164433419706,34772766934.4,0.9989683628082275,38.85,16718270464.0,790000,899,8.0289195e-05,877,0.0,960,-579827.52385773
-0.00044647952090599575,0.2,0.0,0.0003,-17.015294776856898,36016494675.2,0.9990437626838684,44.64,18172770304.0,800000,910,0.00010022179,878,0.0,970,-652717.86984539
-0.00042382000719953794,0.2,0.0,0.0003,-17.01596674323082,34817464539.2,0.9990817904472351,48.27,18290737152.0,810000,920,0.00011008865,879,5.960464477539063e-08,980,-688258.9572175601
-0.00043103558873553994,0.2,0.0,0.0003,-17.01568283587694,34604995209.6,0.9990271925926208,43.47,17118346240.0,820000,936,0.00011520582,876,0.0,1000,-632573.17521173
-0.0004654182926969952,0.2,0.0,0.0003,-17.0151871368289,34577486024.0,0.9989650249481201,47.51,17540462592.0,830000,946,0.00012060099,876,0.0,1010,-684790.58834947
-0.0005733430272812257,0.2,0.0,0.0003,-17.014839282631876,36349498635.2,0.9989755153656006,45.19,18102677504.0,840000,957,0.00015680469,877,-1.1920928955078125e-07,1020,-641743.56814908
-0.000345249091333244,0.2,0.0,0.0003,-17.014592853188514,35427197057.6,0.9989237189292908,47.09,15879565312.0,850000,967,8.5457476e-05,878,0.0,1030,-671631.2331103
-0.0005004404474675539,0.2,0.0,0.0003,-17.013765843212603,34664940158.4,0.9988332390785217,40.86,16166935552.0,860000,977,0.00011714582,879,0.0,1040,-597490.1376243
-0.0007539514773270639,0.2,0.0,0.0003,-17.01308142095804,35478047504.0,0.9987991452217102,38.57,17790914560.0,870000,993,0.00021809206,876,0.0,1060,-566009.59751137
-0.0004359841077530291,0.2,0.0,0.0003,-17.01342503577471,33730810947.2,0.9989034533500671,40.33,17652723712.0,880000,1003,0.000111921974,876,0.0,1070,-588801.9298542399
-0.0005508929076313507,0.2,0.0,0.0003,-17.014176119863986,36027287881.6,0.9989223480224609,49.47,17568483328.0,890000,1014,0.0001398951,877,-1.1920928955078125e-07,1080,-707954.6439706801
