train/policy_gradient_loss,train/explained_variance,time/time_elapsed,train/value_loss,time/total_timesteps,train/n_updates,train/loss,train/std,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,time/fps,train/approx_kl,train/clip_range,rollout/ep_rew_mean,train/clip_fraction
-0.001251656525528233,1.1920928955078125e-07,975,6406993642.4,670000,810,2916656384.0,0.9930790066719055,20.54,-21.17974037975073,0.0003,686,0.0004645243,0.2,-145833.96171156,0.0
-0.0025031457033037443,0.0,994,6056272713.6,680000,830,3104134656.0,0.9926651120185852,22.77,-21.175984781980514,0.0003,683,0.0012684581,0.2,-149322.48136103002,1.220703125e-05
-0.0017671335739578354,1.1920928955078125e-07,1008,6293640246.0,690000,840,2850647552.0,0.992702066898346,21.89,-21.173171104490756,0.0003,684,0.00085169147,0.2,-151135.34584317997,0.0
-0.0013321385338713298,0.0,1021,6003853042.8,700000,850,2806089984.0,0.9924861192703247,28.55,-21.171860904991625,0.0003,685,0.0006244322,0.2,-174387.79097014997,0.0
-0.0014938262653231504,1.1920928955078125e-07,1034,5892141148.8,710000,860,3068986368.0,0.9920862913131714,26.26,-21.16720562428236,0.0003,686,0.00062625087,0.2,-169246.83749985,0.0
-0.001536125288475887,0.0,1048,6151606306.0,720000,870,3205553920.0,0.992090106010437,23.03,-21.164218315482138,0.0003,686,0.0006927564,0.2,-156897.99947668,0.0
-0.0010843156083865323,1.1920928955078125e-07,1067,6127847912.0,730000,890,3030866432.0,0.9918401837348938,23.91,-21.160483080148698,0.0003,684,0.0003706131,0.2,-159667.8970324,0.0
-0.0011282359246251872,-1.1920928955078125e-07,1080,6153399725.6,740000,900,2806688256.0,0.9916300177574158,22.35,-21.158826556801795,0.0003,684,0.00038557724,0.2,-146827.83003942002,0.0
-0.0014877285781949468,-1.1920928955078125e-07,1093,5690285005.2,750000,910,3123194368.0,0.9913895726203918,22.11,-21.155321699380874,0.0003,685,0.0006680561,0.2,-157667.0973567,0.0
-0.001756875637511257,-1.1920928955078125e-07,1107,6318209897.2,760000,920,2969686784.0,0.9912017583847046,24.03,-21.152021139860153,0.0003,686,0.00078250526,0.2,-153706.20472896998,0.0
-0.0013686184753169072,0.0,1120,6026515260.4,770000,930,2851343104.0,0.9912023544311523,25.42,-21.15060023665428,0.0003,687,0.0006197057,0.2,-154237.97340026,0.0
-0.0010872799847675197,0.0,1139,5873239375.6,780000,950,2781673472.0,0.9907656908035278,23.53,-21.144032652676106,0.0003,684,0.00036982895,0.2,-154784.05079309,0.0
-0.0013904488459957065,-1.1920928955078125e-07,1153,6068142979.2,790000,960,2793702400.0,0.9904085397720337,25.73,-21.141301788389683,0.0003,685,0.0005339786,0.2,-172813.78891854998,0.0
-0.0013208831469455617,5.960464477539063e-08,1166,6362066374.4,800000,970,3439765504.0,0.9902541041374207,24.32,-21.137328431010246,0.0003,685,0.00047043042,0.2,-151645.71430339,0.0
-0.001208125140692573,0.0,1179,5798737350.8,810000,980,2736766208.0,0.9900751113891602,23.43,-21.134770205616952,0.0003,686,0.0005415934,0.2,-153409.58162079996,0.0
-0.001030834563243843,5.960464477539063e-08,1198,5852080674.8,820000,1000,2847537920.0,0.9896611571311951,23.24,-21.127676635980606,0.0003,684,0.0003394092,0.2,-153355.13479835,0.0
-0.0008921558910515159,0.0,1212,5781372068.4,830000,1010,2733200384.0,0.9898200631141663,22.71,-21.1282861828804,0.0003,684,0.00027298377,0.2,-152942.77598409,0.0
-0.0010620318934343232,0.0,1225,5964405236.8,840000,1020,3147641344.0,0.989968478679657,25.78,-21.130577228963375,0.0003,685,0.00029477774,0.2,-159037.79016704002,0.0
-0.0010052922289105481,0.0,1239,5841773581.6,850000,1030,3317845248.0,0.989700198173523,20.02,-21.129748828709126,0.0003,685,0.0003442732,0.2,-142018.10616681003,0.0
-0.0015599288730300032,-1.1920928955078125e-07,1252,6009310211.2,860000,1040,3133966592.0,0.9895360469818115,25.42,-21.126440286636353,0.0003,686,0.00064764626,0.2,-150949.852225,0.0
-0.0014637994981967495,0.0,1271,5903147263.2,870000,1060,2611672832.0,0.9890275597572327,22.25,-21.118676479160786,0.0003,684,0.0006244014,0.2,-148962.34207275,0.0
-0.0008697002160261036,-1.1920928955078125e-07,1285,5917546889.2,880000,1070,2899972096.0,0.9887254238128662,23.7,-21.115220834314822,0.0003,684,0.00019471537,0.2,-147921.12882205,0.0
-0.0011962501497691847,0.0,1298,5761600792.0,890000,1080,3454368256.0,0.9884353876113892,20.89,-21.110633367300032,0.0003,685,0.00048205478,0.2,-139322.68443670002,0.0
-0.0016136096153786638,-1.1920928955078125e-07,1311,5641514234.4,900000,1090,3271546112.0,0.9884695410728455,21.6,-21.10857728421688,0.0003,685,0.0007723526,0.2,-149529.5530666,0.0
-0.001050356643554551,0.0,1330,5773337126.0,910000,1110,2840785664.0,0.9880135655403137,19.75,-21.10433665663004,0.0003,683,0.00038902956,0.2,-139005.15543544,0.0
-0.0007388735531549173,-2.384185791015625e-07,1344,5869788891.2,920000,1120,2749720064.0,0.98809415102005,23.4,-21.102522279322148,0.0003,684,0.00018872181,0.2,-143336.59640055997,0.0
-0.0014215016073649168,1.1920928955078125e-07,1357,5638738510.0,930000,1130,2824803328.0,0.9881819486618042,22.59,-21.103792160749435,0.0003,684,0.00089094776,0.2,-149338.8469947,6.103515625e-05
-0.0009674677247858199,0.0,1371,5669751093.6,940000,1140,2545161984.0,0.9880732893943787,19.75,-21.103584060072897,0.0003,685,0.00031707424,0.2,-136880.87971945002,0.0
-0.0011360109326233215,-1.1920928955078125e-07,1384,5485608729.6,950000,1150,2757067520.0,0.9880748987197876,22.8,-21.10274768024683,0.0003,686,0.0005064972,0.2,-149019.42218825,0.0
-0.0008899824044419802,0.0,1403,5724665683.6,960000,1170,2660517888.0,0.9881962537765503,23.87,-21.103118567168714,0.0003,683,0.0002694259,0.2,-151614.62952681995,0.0
-0.0011330199212352455,1.1920928955078125e-07,1417,5697038359.2,970000,1180,2968033792.0,0.9880290627479553,24.63,-21.10325033068657,0.0003,684,0.00037415847,0.2,-154202.45085794997,0.0
-0.0010276719264766144,0.0,1430,5862699176.8,980000,1190,2912948480.0,0.9879691004753113,22.52,-21.10149122774601,0.0003,685,0.00042830931,0.2,-147404.54503249002,0.0
-0.0012017549765005243,0.0,1444,5571872496.4,990000,1200,2439360768.0,0.9878338575363159,24.35,-21.099962976574897,0.0003,685,0.0005417975,0.2,-145693.09092604998,0.0
-0.0010192986232141267,0.0,1462,5458476660.6,1000000,1220,2523233280.0,0.9877041578292847,19.77,-21.096956020593645,0.0003,683,0.00039410434,0.2,-135666.26438907997,0.0
