time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,time/fps,train/explained_variance,train/learning_rate
896,760000,-284811.06016672996,8.41,1.2656617164611816,0.2,920,-24.792585554718972,0.00299072265625,19049834496.0,-0.0022002577274179203,40705995921.6,0.0024661035,847,0.0,0.0017
907,770000,-255765.29946382,7.3,1.2688966989517212,0.2,930,-24.83333012312651,0.0020263671875,21002760192.0,-0.002550128039820265,38500264305.6,0.0023372993,848,5.960464477539063e-08,0.0017
922,780000,-232000.25994142998,6.47,1.2769876718521118,0.2,950,-24.923610226809977,0.00474853515625,16536097792.0,-0.003055324380329694,36522885947.2,0.0029656128,845,-1.1920928955078125e-07,0.0017
933,790000,-209947.22023365996,5.71,1.2803279161453247,0.2,960,-24.96670184135437,0.00389404296875,18917107712.0,-0.002576273476370261,33766167899.2,0.002784715,846,5.960464477539063e-08,0.0017
944,800000,-234007.36571045,6.47,1.2842669486999512,0.2,970,-25.009602239727975,0.01817626953125,20963815424.0,-0.003973032052545023,33818641422.4,0.004268923,846,0.0,0.0017
955,810000,-215400.50577638004,5.99,1.288662075996399,0.2,980,-25.057594507932663,0.0028564453125,16711272448.0,-0.0022380379004971473,33739007100.8,0.0022388676,847,1.7881393432617188e-07,0.0017
971,820000,-194827.31630986,5.07,1.297249436378479,0.2,1000,-25.15838081538677,0.00347900390625,18257410048.0,-0.002215433620949625,34848682294.4,0.0022360687,844,-1.1920928955078125e-07,0.0017
981,830000,-224955.09427791007,6.29,1.3012841939926147,0.2,1010,-25.2059654250741,0.00506591796875,17927014400.0,-0.002902063837609603,30896374827.2,0.002882575,845,5.960464477539063e-08,0.0017
992,840000,-206540.79545344,5.6,1.305433750152588,0.2,1020,-25.252646937966347,0.00311279296875,13344160768.0,-0.0018927906743556378,30644383803.2,0.002091621,846,0.0,0.0017
1003,850000,-208746.9151055,5.61,1.3099910020828247,0.2,1030,-25.302413973212243,0.0023193359375,22383714304.0,-0.002377154620626243,35430450953.6,0.0019838815,846,-1.1920928955078125e-07,0.0017
1014,860000,-192103.72020985,5.0,1.3148901462554932,0.2,1040,-25.35612484961748,0.007861328125,14611940352.0,-0.003637827634156565,29202038451.2,0.0036087083,847,5.960464477539063e-08,0.0017
1030,870000,-193109.85382481,5.05,1.3227428197860718,0.2,1060,-25.452122347056864,0.0048828125,16767760384.0,-0.0024917560978792606,28899713548.8,0.002997898,844,5.960464477539063e-08,0.0017
1041,880000,-188872.24339141,4.89,1.3269060850143433,0.2,1070,-25.495750851929188,0.00240478515625,17592442880.0,-0.0015036601373140002,30108315926.4,0.0016553578,844,0.0,0.0017
1052,890000,-169538.44419639,4.14,1.3306763172149658,0.2,1080,-25.540127937495708,0.00751953125,16678968320.0,-0.00283913671701157,29614675636.8,0.0028218073,845,0.0,0.0017
1063,900000,-197220.88401335,5.22,1.3350569009780884,0.2,1090,-25.585782881081105,0.00399169921875,16275278848.0,-0.0015513772763370071,30394477372.0,0.0020072046,846,5.960464477539063e-08,0.0017
1079,910000,-188402.18329148003,4.9,1.3440489768981934,0.2,1110,-25.68164778649807,0.00394287109375,14499381248.0,-0.002614235001965426,30131964686.4,0.0018268973,843,-1.1920928955078125e-07,0.0017
1090,920000,-215849.09479881998,5.79,1.3482260704040527,0.2,1120,-25.733174608647822,0.0015869140625,13518513152.0,-0.0015617440585629083,31739825358.4,0.0014180379,843,1.1920928955078125e-07,0.0017
1101,930000,-197382.03906882997,5.2,1.3530614376068115,0.2,1130,-25.783085064589976,0.00855712890625,13908276224.0,-0.002983449841849506,30660411785.6,0.0030774479,844,0.0,0.0017
1112,940000,-183440.02449883998,4.67,1.3573992252349854,0.2,1140,-25.833737018704415,0.01422119140625,14682667008.0,-0.003620559794944711,28965954593.6,0.0034971985,844,5.960464477539063e-08,0.0017
1123,950000,-197117.00946948997,5.18,1.3621536493301392,0.2,1150,-25.883242769539358,0.00638427734375,11726820352.0,-0.002803331121685915,20548526032.0,0.0029777056,845,0.0,0.0017
1139,960000,-192044.87718138995,5.01,1.3706353902816772,0.2,1170,-25.978639198839666,0.013330078125,11114563584.0,-0.0035245090059106586,25900232305.6,0.0031721191,842,0.0,0.0017
1150,970000,-169423.60565458,4.21,1.3745580911636353,0.2,1180,-26.021939700841905,0.00294189453125,12270348288.0,-0.0016395228856708854,26199371247.2,0.0020247186,842,0.0,0.0017
1161,980000,-166150.29938766,3.92,1.3791234493255615,0.2,1190,-26.06767373085022,0.0078857421875,13645589504.0,-0.0022607593539760275,26434346735.2,0.0028408943,843,-1.1920928955078125e-07,0.0017
1172,990000,-172517.88551780998,4.25,1.383490800857544,0.2,1200,-26.115417248010637,0.0028564453125,11744618496.0,-0.0023868516735092273,24939289906.4,0.0021849498,844,-2.384185791015625e-07,0.0017
1188,1000000,-188401.27259366002,4.79,1.3938323259353638,0.2,1220,-26.220208755135538,0.00504150390625,14740515840.0,-0.0024112930448609406,23864002397.6,0.002773862,841,-2.384185791015625e-07,0.0017
