train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance
0.0017,6635960320.0,-0.002120855774046504,14883303091.2,914,994,910000,0.2,0.002502043,-212088.55917716995,-22.253494538366795,1110,10.56,0.0071533203125,1.5504642724990845,0.0
0.0017,7995030528.0,-0.0020500371130765414,14517302220.8,915,1005,920000,0.2,0.002654427,-224414.52109988,-22.30790247172117,1120,12.1,0.00654296875,1.5566765069961548,0.0
0.0017,7799010816.0,-0.0022822026470748825,14055571308.8,915,1015,930000,0.2,0.0028726475,-204694.08596193002,-22.36137019097805,1130,10.24,0.01080322265625,1.5644699335098267,0.0
0.0017,7198518784.0,-0.00184939277041849,13661806545.6,916,1026,940000,0.2,0.0022342396,-204435.67825543997,-22.417543181777,1140,10.22,0.005859375,1.5713238716125488,0.0
0.0017,6625155584.0,-0.002392633668296185,13855757272.0,916,1036,950000,0.2,0.003286865,-218569.68570451,-22.467191982269288,1150,11.67,0.00771484375,1.5773333311080933,-1.1920928955078125e-07
0.0017,6549353984.0,-0.0021581691747996957,13310521676.0,912,1051,960000,0.2,0.002237877,-207160.29063051,-22.566226114332675,1170,10.58,0.00672607421875,1.5911664962768555,0.0
0.0017,6871166464.0,-0.002107852688368439,13562228941.6,913,1062,970000,0.2,0.0025144133,-207186.01050899003,-22.61963147073984,1180,10.71,0.00584716796875,1.5979976654052734,1.1920928955078125e-07
0.0017,8115180544.0,-0.0011421892912039766,14011983770.4,913,1072,980000,0.2,0.0016943384,-210775.26137339004,-22.668482346832754,1190,11.27,0.00274658203125,1.6043106317520142,0.0
0.0017,7131109376.0,-0.0015804007382939744,13753818280.8,914,1082,990000,0.2,0.0028382181,-209587.03463616996,-22.71787608265877,1200,11.15,0.00389404296875,1.6111774444580078,0.0
0.0017,7393495552.0,-0.00213461090461351,13964938420.0,911,1097,1000000,0.2,0.003052478,-215103.07860019,-22.829539768397808,1220,11.85,0.01614990234375,1.6267696619033813,0.0
