time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/loss,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,time/fps,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,train/approx_kl
630000,-21.18737639039755,45.75,2594063616.0,-0.0015526083643635502,0.9935371279716492,0.0,0.2,5433198750.6,0.0,809,760,-224243.69543859997,0.0003,778,0.00082950003
640000,-21.184621214866638,47.41,3086609152.0,-0.0015566550544463098,0.9933230876922607,0.0,0.2,5472240218.2,0.0,806,780,-234884.07549462997,0.0003,793,0.00078358647
650000,-21.1825015604496,45.82,2527250688.0,-0.0011586856322537641,0.9932483434677124,0.0,0.2,5199461711.2,0.0,807,790,-224104.74948029,0.0003,804,0.0005145157
660000,-21.180769523978235,47.26,2720283648.0,-0.0018004356576057034,0.9930793642997742,-1.1920928955078125e-07,0.2,5134283036.4,1.220703125e-05,808,800,-228341.92745430005,0.0003,816,0.0011801012
670000,-21.180766519904136,45.85,2352386304.0,-0.001941718272792059,0.9932469129562378,0.0,0.2,5309920336.4,0.0,810,810,-220636.60232981003,0.0003,827,0.0011540549
680000,-21.17616370022297,42.15,2350932992.0,-0.001927047192111786,0.9928604960441589,-1.1920928955078125e-07,0.2,5170724744.0,3.662109375e-05,807,830,-204787.16830810998,0.0003,842,0.0009906166
690000,-21.17656246125698,43.23,2574339840.0,-0.0012278910637178342,0.9929160475730896,0.0,0.2,5150969939.0,0.0,808,840,-209489.99195986,0.0003,853,0.0006748234
700000,-21.176221337914466,48.78,2659308032.0,-0.0018310299072254565,0.9928176999092102,1.1920928955078125e-07,0.2,5160964912.0,0.0,809,850,-225042.91612561003,0.0003,864,0.0009447017
710000,-21.174701064825058,36.61,2441909760.0,-0.0014250513480874361,0.9927246570587158,0.0,0.2,5269340652.2,0.0,810,860,-187191.97055944,0.0003,875,0.0008344452
720000,-21.17401184886694,48.97,2437034240.0,-0.001155187884978659,0.9927076697349548,0.0,0.2,5276152038.4,0.0,811,870,-233835.78407545,0.0003,887,0.00048226977
730000,-21.168780152499675,44.7,2717661952.0,-0.0014665809119833284,0.9922293424606323,0.0,0.2,5314316915.4,1.220703125e-05,807,890,-223142.62489667,0.0003,904,0.000775306
740000,-21.166140381991863,42.02,2267667712.0,-0.001482338510459158,0.9922018051147461,-1.1920928955078125e-07,0.2,5028564472.0,0.0,807,900,-200509.34121796006,0.0003,915,0.00080873456
750000,-21.16623356938362,48.57,2545179648.0,-0.0011186036209437588,0.9922254085540771,0.0,0.2,4948935827.6,0.0,808,910,-238820.95640597,0.0003,927,0.0005200987
760000,-21.167540450394153,50.12,2301005056.0,-0.0015945830220516655,0.9923732280731201,0.0,0.2,5185122425.0,2.44140625e-05,809,920,-233538.09645523998,0.0003,938,0.0008426872
770000,-21.16798748522997,45.55,2739646720.0,-0.0016158024456672138,0.992294430732727,1.7881393432617188e-07,0.2,5118057504.4,0.0,810,930,-204729.49597546004,0.0003,949,0.0008865845
780000,-21.16812122762203,42.37,2425686528.0,-0.0010868416549783433,0.9922544360160828,-1.1920928955078125e-07,0.2,5046188575.0,0.0,807,950,-205584.69733072002,0.0003,965,0.00043029175
790000,-21.165092474222185,42.66,2157830400.0,-0.001789606965121493,0.9920410513877869,0.0,0.2,5070292729.6,0.0001220703125,808,960,-211345.87798984992,0.0003,976,0.0010987176
800000,-21.16039129793644,44.78,2463043840.0,-0.0015318150362872984,0.9916302561759949,0.0,0.2,4984824294.4,0.0,809,970,-222810.40574724,0.0003,988,0.0007563955
810000,-21.156286165118217,48.12,2582618880.0,-0.00241520659192247,0.9915037751197815,-1.1920928955078125e-07,0.2,5056141076.2,8.544921875e-05,810,980,-228473.67270246,0.0003,999,0.0013891502
820000,-21.148900943994523,42.54,2262093056.0,-0.0016503045369972824,0.9910628199577332,0.0,0.2,4736190714.8,0.0,807,1000,-195987.09288216996,0.0003,1015,0.00093275163
830000,-21.149004419147968,49.73,2508674816.0,-0.0014536330418195575,0.9911020994186401,1.1920928955078125e-07,0.2,4732965326.0,1.220703125e-05,808,1010,-234860.85504146997,0.0003,1026,0.00064175937
840000,-21.146577946841717,47.4,2342493440.0,-0.0013812674282235094,0.9907521605491638,0.0,0.2,5072434824.4,0.0,808,1020,-219063.28746425,0.0003,1038,0.00066557166
850000,-21.143209607899188,41.12,2093071488.0,-0.0016270984244329157,0.9906600713729858,-1.1920928955078125e-07,0.2,4850792708.2,1.220703125e-05,809,1030,-194178.61958159003,0.0003,1049,0.0007601443
860000,-21.14333695024252,41.64,2876905216.0,-0.0013956011021946323,0.9907670617103577,1.1920928955078125e-07,0.2,5039711979.0,1.220703125e-05,810,1040,-192244.70098204995,0.0003,1061,0.0007028751
870000,-21.138248708844184,49.24,2178011392.0,-0.0015270445841451875,0.9903293251991272,-1.1920928955078125e-07,0.2,5061541703.0,0.0,807,1060,-228630.60027712001,0.0003,1077,0.00078541227
880000,-21.13600467890501,50.11,2213775616.0,-0.0009754269975019269,0.9901231527328491,0.0,0.2,4697399199.4,0.0,808,1070,-224728.81315391,0.0003,1088,0.0003192557
890000,-21.134373664855957,44.9,2602477056.0,-0.0011611992844336783,0.9901221990585327,0.0,0.2,4874413921.4,0.0,809,1080,-208235.89837727,0.0003,1099,0.00048975775
900000,-21.132697607576848,46.05,2579515136.0,-0.0014276766742113978,0.9899000525474548,2.384185791015625e-07,0.2,4836493066.4,1.220703125e-05,810,1090,-221534.68566341003,0.0003,1110,0.0007025958
910000,-21.132823723554612,45.39,2308961280.0,-0.001423590039848932,0.9900456070899963,-1.1920928955078125e-07,0.2,4741690185.2,0.0,807,1110,-208234.87640147,0.0003,1126,0.00072144874
920000,-21.13366756439209,44.61,1937182080.0,-0.0010800723735883365,0.9901140928268433,2.384185791015625e-07,0.2,4826296112.6,0.0,808,1120,-201705.84219153997,0.0003,1138,0.00051455037
930000,-21.132756613194942,48.34,2352580864.0,-0.0015699149340434814,0.9899312257766724,-1.1920928955078125e-07,0.2,4775408103.0,3.662109375e-05,809,1130,-227901.01641392,0.0003,1149,0.0008118019
940000,-21.132472664117813,45.44,2394689280.0,-0.0019048431575356517,0.9900707006454468,-1.1920928955078125e-07,0.2,5080821312.6,1.220703125e-05,809,1140,-212546.40677577,0.0003,1160,0.0010324328
950000,-21.13128792345524,45.59,2103305088.0,-0.0016910320962779223,0.9897803664207458,1.1920928955078125e-07,0.2,4754933515.0,0.0,810,1150,-204212.28668486004,0.0003,1171,0.00083350204
960000,-21.127544495463372,48.17,2160967168.0,-0.001570778901623271,0.9895694255828857,1.7881393432617188e-07,0.2,5066818391.8,1.220703125e-05,808,1170,-228720.15174103,0.0003,1187,0.000838691
970000,-21.125198778510093,41.77,2499434752.0,-0.0011243067854593391,0.9894931316375732,0.0,0.2,4838127476.0,0.0,809,1180,-197505.34458156,0.0003,1198,0.0005255743
980000,-21.12419448941946,38.95,2203232768.0,-0.0013317772774826154,0.9894291758537292,0.0,0.2,4819851833.6,1.220703125e-05,810,1190,-181667.04221010997,0.0003,1209,0.0006580633
990000,-21.123272781074046,47.86,2345102592.0,-0.002040778961418255,0.989374041557312,1.1920928955078125e-07,0.2,4692652245.4,0.00010986328125,811,1200,-212563.81840813,0.0003,1220,0.0013276953
1000000,-21.119757977128028,51.21,2451878912.0,-0.0013815117386911878,0.9890326261520386,0.0,0.2,4578465066.6,0.0,808,1220,-218268.63038914002,0.0003,1236,0.00069576665
