train/value_loss,train/approx_kl,time/total_timesteps,train/learning_rate,train/n_updates,train/explained_variance,time/time_elapsed,train/entropy_loss,time/fps,train/policy_gradient_loss,rollout/ep_len_mean,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/loss,train/std
3013821013.7,0.0010357625,770000,0.0003,930,0.0,877,-16.8847048163414,877,-0.001755468933515658,76.19,1.220703125e-05,-254246.51200115003,0.2,1513604864.0,0.9881250262260437
3242585659.2,0.0006208417,780000,0.0003,950,0.0,892,-16.88434778004885,873,-0.0013285677287058206,68.45,0.0,-230374.17698561,0.2,1936204032.0,0.9883813858032227
2962850917.8,0.0010618421,790000,0.0003,960,0.0,903,-16.883296672999858,874,-0.001721384603479237,66.74,3.662109375e-05,-226185.96199317,0.2,1431801216.0,0.9878699779510498
2924572337.3,0.0013647291,800000,0.0003,970,0.0,913,-16.879068091511726,875,-0.0016805511782877146,78.95,1.220703125e-05,-260098.35488556005,0.2,1422161536.0,0.9876964688301086
3082012332.9,0.0007780439,810000,0.0003,980,-1.1920928955078125e-07,924,-16.87835573107004,876,-0.0014521898465318372,69.1,3.662109375e-05,-227904.68412883006,0.2,1373226112.0,0.9877488613128662
3161880823.6,0.0013464002,820000,0.0003,1000,1.1920928955078125e-07,939,-16.870550148189068,872,-0.0018911475104232522,72.96,3.662109375e-05,-248233.49136964002,0.2,1825713408.0,0.9868039488792419
2975532845.9,0.0012667689,830000,0.0003,1010,0.0,949,-16.86700608432293,873,-0.0018312136995518812,66.31,6.103515625e-05,-219303.29267794997,0.2,1653748224.0,0.9867987632751465
2956546160.7,0.0012860491,840000,0.0003,1020,1.1920928955078125e-07,960,-16.86627742946148,874,-0.001792908897232337,72.34,7.32421875e-05,-231341.8872544,0.2,1383757568.0,0.986683189868927
3173048759.2,0.0011759757,850000,0.0003,1030,-1.1920928955078125e-07,971,-16.864317931234837,875,-0.0017001653394800088,76.12,6.103515625e-05,-248720.64548026,0.2,1673205248.0,0.9864726662635803
3000948626.4,0.00048052374,860000,0.0003,1040,0.0,981,-16.862269334495068,876,-0.001012419276230503,69.3,0.0,-222189.67146776002,0.2,1702962176.0,0.9863410592079163
2998458458.5,0.0014849894,870000,0.0003,1060,0.0,996,-16.85469763725996,872,-0.002064356031041825,67.44,0.00013427734375,-223233.46588425,0.2,1447925632.0,0.9855695366859436
2947717545.6,0.0014267701,880000,0.0003,1070,0.0,1007,-16.850949767231942,873,-0.0017547037907206687,55.65,0.00020751953125,-189072.60450895,0.2,1568737024.0,0.9854043126106262
3115826652.6,0.0010278685,890000,0.0003,1080,0.0,1018,-16.851222775876522,874,-0.0014909492514561863,68.41,8.544921875e-05,-226216.52752511998,0.2,1364826624.0,0.9856218695640564
2869664487.7,0.0016870035,900000,0.0003,1090,0.0,1028,-16.851373821496964,874,-0.001821154243498313,61.45,0.000439453125,-203620.49116252005,0.2,1361623552.0,0.9854123592376709
2934751714.5,0.0023677857,910000,0.0003,1110,0.0,1043,-16.84914441406727,871,-0.0025353384289701353,68.08,0.00123291015625,-216575.63137989002,0.2,1457092224.0,0.9852180480957031
2971338279.9,0.0006695688,920000,0.0003,1120,-1.1920928955078125e-07,1054,-16.84661823064089,872,-0.00158290812632913,65.95,4.8828125e-05,-228927.84950840005,0.2,1540661760.0,0.9850518703460693
3131640243.6,0.0011575837,930000,0.0003,1130,1.7881393432617188e-07,1064,-16.84396185874939,873,-0.0015904158086414099,67.61,0.0,-219918.28003821,0.2,1533117952.0,0.9847726821899414
3051841713.7,0.0015516258,940000,0.0003,1140,1.1920928955078125e-07,1075,-16.84069444388151,873,-0.0017725374020301388,49.98,0.00106201171875,-173380.79395597003,0.2,1548170240.0,0.9845208525657654
3113170572.6,0.0010216576,950000,0.0003,1150,-2.384185791015625e-07,1086,-16.837507690489293,874,-0.00145394529472469,59.61,3.662109375e-05,-200329.59075404998,0.2,1807403520.0,0.9842514395713806
2793213110.0,0.0018037913,960000,0.0003,1170,0.0,1101,-16.830325123667716,871,-0.0023262022566996167,75.73,0.0003662109375,-237347.49999036,0.2,1649634688.0,0.9835550785064697
2914045336.7,0.0007307187,970000,0.0003,1180,1.1920928955078125e-07,1111,-16.826493018865584,872,-0.0011383678784113727,62.44,0.0,-210667.84021947,0.2,1246168320.0,0.9834170341491699
3009164088.3,0.0011720487,980000,0.0003,1190,0.0,1122,-16.825770963728427,873,-0.0015771739885167336,76.68,0.0004150390625,-240531.99736665998,0.2,1505542656.0,0.9834688305854797
2914857992.6,0.0016729657,990000,0.0003,1200,-1.1920928955078125e-07,1133,-16.823996758461,873,-0.0020388657019793756,60.56,0.00015869140625,-200299.92345252997,0.2,1516453376.0,0.9831098914146423
2713195837.2,0.0009735089,1000000,0.0003,1220,0.0,1148,-16.808589772880076,870,-0.0017046932360244682,79.22,0.00020751953125,-249970.63130011995,0.2,1339685888.0,0.9817957282066345
