rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/std,time/time_elapsed,train/policy_loss,time/fps,time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_len_mean,train/learning_rate
-1072656.94697149,43499,-23.414020538330078,1.7165583372116089,728,-1329287.0,1193,870000,-1.1920928955078125e-07,4938961920.0,65.51,0.0007
-790815.3325355801,43999,-23.431486129760742,1.7194401025772095,736,-828729.9375,1195,880000,-2.384185791015625e-07,1575409664.0,46.78,0.0007
-523972.4904177301,44499,-23.546859741210938,1.736343264579773,743,-1274810.25,1197,890000,-1.1920928955078125e-07,4141549056.0,34.87,0.0007
-932187.89437927,44999,-23.584152221679688,1.7429507970809937,750,-832392.375,1199,900000,0.0,1592784256.0,61.51,0.0007
-758727.89929307,45499,-23.697614669799805,1.7557263374328613,757,-1262981.75,1200,910000,-1.1920928955078125e-07,3396966912.0,49.39,0.0007
-830069.7002868499,45999,-23.671483993530273,1.7529587745666504,765,-838873.6875,1202,920000,0.0,1820340480.0,50.09,0.0007
-559321.03574171,46499,-23.739604949951172,1.7634506225585938,772,-1033809.1875,1203,930000,0.0,2380656384.0,36.56,0.0007
-710693.6745213501,46999,-23.776763916015625,1.7669601440429688,779,-927135.875,1205,940000,0.0,2002720000.0,44.54,0.0007
-583995.8544626299,47499,-23.90109634399414,1.785627007484436,787,-927359.6875,1206,950000,0.0,1698336384.0,35.67,0.0007
-1171555.9334858302,47999,-23.985998153686523,1.799849510192871,794,-1243587.375,1207,960000,1.1920928955078125e-07,3546407424.0,76.39,0.0007
-628128.7638450101,48499,-24.095090866088867,1.8157459497451782,801,-867129.875,1209,970000,0.0,1698528512.0,43.42,0.0007
-721980.55587157,48999,-24.105119705200195,1.8170102834701538,809,-844186.1875,1211,980000,0.0,1476222976.0,50.03,0.0007
-1044679.76047884,49499,-24.11363410949707,1.8188117742538452,816,-1621046.375,1212,990000,1.1920928955078125e-07,5530471936.0,63.17,0.0007
-641050.463153,49999,-24.249147415161133,1.841025710105896,823,-853543.125,1213,1000000,5.960464477539063e-08,1747734912.0,43.57,0.0007
