train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/std,rollout/ep_len_mean,train/clip_range,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,time/total_timesteps,train/n_updates,train/explained_variance,train/entropy_loss,time/fps
1182806282.5,-214227.96587338002,-0.0035596832018200074,402570720.0,0.9714815616607666,118.43,0.2,617,0.0003,0.003578917,0.01646728515625,840000,1020,1.1920928955078125e-07,-12.50951478034258,1361
1235731792.75,-193996.06639940993,-0.0020161503220151645,718089408.0,0.9715554118156433,113.12,0.2,623,0.0003,0.0025796709,0.007470703125,850000,1030,0.0,-12.507250056415796,1362
1238222481.825,-191493.62570944,-0.0034677384759561392,618167296.0,0.971410870552063,103.28,0.2,630,0.0003,0.0035771139,0.014208984375,860000,1040,1.1920928955078125e-07,-12.50676199272275,1363
1110491246.15,-211418.60136524,-0.003574409849170479,470701536.0,0.9708577394485474,120.14,0.2,640,0.0003,0.0038049505,0.01929931640625,870000,1060,-1.1920928955078125e-07,-12.502140654623508,1357
1109421937.55,-203930.97483347,-0.0038967290231084915,595889536.0,0.9708101749420166,117.02,0.2,647,0.0003,0.0036451654,0.01783447265625,880000,1070,1.1920928955078125e-07,-12.500353547930718,1359
1343074116.6,-217856.45638355,-0.002319344715033367,540116736.0,0.9706376194953918,119.34,0.2,654,0.0003,0.0027347854,0.0056640625,890000,1080,0.0,-12.499168244749308,1360
1113152231.65,-219605.47057781005,-0.003898254519845068,491453376.0,0.9696524739265442,127.75,0.2,660,0.0003,0.0042020376,0.0171142578125,900000,1090,-1.1920928955078125e-07,-12.493754957616328,1361
1147198800.75,-212153.46037404,-0.0036699991104796937,643997760.0,0.9689241051673889,122.41,0.2,670,0.0003,0.0037177783,0.01405029296875,910000,1110,0.0,-12.48392454907298,1356
1312120788.3,-204528.52357699,-0.0033364216104018853,457647040.0,0.96794193983078,107.24,0.2,677,0.0003,0.0036080815,0.01533203125,920000,1120,0.0,-12.478054033964872,1357
1202418540.2,-217191.58071567002,-0.0031550141682600953,412350496.0,0.9671851396560669,127.31,0.2,684,0.0003,0.00355687,0.01436767578125,930000,1130,1.1920928955078125e-07,-12.469742856919765,1359
1159786231.025,-221382.26194515,-0.00364805713907117,678403200.0,0.9662606716156006,129.26,0.2,690,0.0003,0.0036659245,0.01392822265625,940000,1140,0.0,-12.461719626188279,1360
1157318578.7,-210951.57519794002,-0.0033003824015395366,615581056.0,0.9654457569122314,122.21,0.2,697,0.0003,0.003015997,0.0134033203125,950000,1150,5.960464477539063e-08,-12.453811726719142,1361
1081127404.075,-222133.945021,-0.0036121117453149056,364968544.0,0.9642577767372131,134.27,0.2,707,0.0003,0.0033317613,0.00859375,960000,1170,1.1920928955078125e-07,-12.4423190549016,1356
1200983409.85,-197613.31667932996,-0.0030366291097379873,676567296.0,0.9641236066818237,110.34,0.2,714,0.0003,0.003090253,0.01136474609375,970000,1180,0.0,-12.437757275253535,1357
1204836323.0,-198554.47373772998,-0.002479435780151107,682485440.0,0.9644948244094849,114.6,0.2,721,0.0003,0.00276168,0.008154296875,980000,1190,-1.1920928955078125e-07,-12.438862815499306,1359
1068306848.15,-217374.67843579,-0.002706475180457346,698568960.0,0.9635038375854492,126.47,0.2,727,0.0003,0.0028451025,0.00736083984375,990000,1200,0.0,-12.435396613180638,1360
1197029252.25,-196847.64793454,-0.003967123600887135,779054144.0,0.962773323059082,114.89,0.2,737,0.0003,0.0041115833,0.01932373046875,1000000,1220,0.0,-12.425164645165205,1355
