train/explained_variance,train/std,train/policy_objective,rollout/ep_len_mean,train/learning_rate,train/value_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,time/total_timesteps,train/n_updates,train/kl_divergence_loss
1.1920928955078125e-07,0.8491377234458923,0.03867416828870773,819.31,0.0013,15059422.008251954,-82787.84892468,3328,216,1.0,720000,87,0.008850933983922005
0.0,0.8531415462493896,0.05174325406551361,832.43,0.0013,4367158.384863282,-87194.93649635,3318,219,1.0,730000,89,0.007942494004964828
0.0,0.8508033156394958,0.07328281551599503,841.71,0.0013,4474842.632373047,-74539.35306667,3311,223,1.0,740000,90,0.009212063625454903
0.0,0.8491865992546082,0.07373905181884766,836.08,0.0013,24076444.33076172,-72671.14917774001,3313,226,1.0,750000,91,0.009333591908216476
0.0,0.8504864573478699,0.08547927439212799,848.58,0.0013,34835270.55429687,-71141.3069572,3310,229,1.0,760000,92,0.007559620775282383
0.0,0.8492653965950012,0.0657329112291336,892.68,0.0013,24192547.573535156,-41024.937666629994,3313,232,1.0,770000,93,0.00825976300984621
-1.1920928955078125e-07,0.8479161262512207,0.04724070802330971,898.27,0.0013,76414235.89765625,-26446.71887243,3293,236,1.0,780000,95,0.009657574817538261
0.0,0.8476609587669373,0.04421701282262802,836.15,0.0013,153900244.803125,-37428.72107257,3280,240,1.0,790000,96,0.008705838583409786
0.0,0.8472221493721008,0.04590964317321777,830.4,0.0013,779881532.559375,-90258.38076973999,3282,243,1.0,800000,97,0.008778427727520466
0.0,0.8481764197349548,0.060948364436626434,782.59,0.0013,312736491.396875,-81717.63591171001,3271,247,1.0,810000,98,0.009086602367460728
0.0,0.8492251634597778,0.08044514060020447,758.95,0.0013,73512213.04296875,-85066.88571870998,3264,251,1.0,820000,100,0.009546993300318718
5.960464477539063e-08,0.8435132503509521,0.052615147083997726,657.23,0.0013,204540669.41875,-78362.36003995,3253,255,1.0,830000,101,0.009569482877850533
-1.1920928955078125e-07,0.8443198800086975,0.05240156129002571,576.72,0.0013,322257965.4375,-77903.06816862998,3255,257,1.0,840000,102,0.00895744189620018
0.0,0.8452436923980713,0.046628937125205994,554.36,0.0013,104388198.496875,-74928.80712746999,3261,260,1.0,850000,103,0.007451064884662628
0.0,0.8453769683837891,0.07064718753099442,561.31,0.0013,100751876.6671875,-23459.733392790004,3267,263,1.0,860000,104,0.008620304986834526
-1.1920928955078125e-07,0.8460144400596619,0.056321412324905396,551.99,0.0013,111368745.5171875,-22331.37100521,3263,266,1.0,870000,106,0.008308284915983677
