time/fps,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean
231,650,7.15,540000,0.9977917671203613,0.2,-17.0018801599741,-0.0005065980380095425,18184202521.6,7685945856.0,0.0003,0.00032724236,0.0,0.0,2334,-156562.05018662
233,670,7.57,550000,0.9975475668907166,0.2,-16.99883577376604,-0.0005340229417925002,18588300630.4,9023756288.0,0.0003,0.0002917948,0.0,0.0,2352,-154367.97453094996
236,680,6.85,560000,0.997509777545929,0.2,-16.997454737126827,-0.0012998186511140376,16117999284.8,7445761536.0,0.0003,0.0008768041,0.0,0.0,2364,-152233.26772884998
239,690,8.03,570000,0.9972701072692871,0.2,-16.995823112130164,-0.0012536777364402952,18611818779.2,7699214848.0,0.0003,0.0008128232,0.0,0.0,2377,-166495.72516854
242,700,7.22,580000,0.9972721934318542,0.2,-16.994374194741248,-0.0016733615226257824,16395165189.6,8714941440.0,0.0003,0.001232439,0.0,-1.1920928955078125e-07,2389,-153174.82350877003
245,720,7.37,590000,0.9969891905784607,0.2,-16.992333844304085,-0.0009299753744016926,16167042130.4,6526482432.0,0.0003,0.0005885605,0.0,5.960464477539063e-08,2407,-155518.22329294
247,730,6.2,600000,0.9969281554222107,0.2,-16.990548641979693,-0.001719400716592645,14367676795.2,6063818240.0,0.0003,0.0012774834,0.0,0.0,2419,-132596.21770294
250,740,6.37,610000,0.997015655040741,0.2,-16.990705139935017,-0.0010377500140748453,16913015172.8,8946491392.0,0.0003,0.0007854599,0.0,0.0,2432,-144141.74088859998
253,750,6.67,620000,0.9967555999755859,0.2,-16.989720022678377,-0.0004555237199383555,18334863512.8,8237403136.0,0.0003,0.0002684256,0.0,0.0,2444,-141416.01087661
256,760,5.93,630000,0.9966241717338562,0.2,-16.987384186685084,-0.001318769080171478,16112314981.6,9786460160.0,0.0003,0.0009576357,0.0,5.960464477539063e-08,2457,-131379.05546738
258,780,7.36,640000,0.9964198470115662,0.2,-16.98457996547222,-0.0010536358138779178,16255290412.0,6596669952.0,0.0003,0.0007223254,0.0,0.0,2474,-157970.18068507002
261,790,5.76,650000,0.9964366555213928,0.2,-16.98419020175934,-0.0012681722955676378,16747683140.0,8054606848.0,0.0003,0.00095028704,0.0,1.1920928955078125e-07,2487,-138254.52569168998
264,800,6.94,660000,0.9962728023529053,0.2,-16.98332040756941,-0.0007391105695205624,15958266572.8,7490571264.0,0.0003,0.0004795314,0.0,5.960464477539063e-08,2499,-148342.20481329
266,810,6.76,670000,0.9960597157478333,0.2,-16.981083899736404,-0.0009397411208510676,13771607109.6,6639945728.0,0.0003,0.00068241335,0.0,0.0,2513,-144183.02467501
268,830,6.27,680000,0.9959566593170166,0.2,-16.978463691473006,-0.0017215778266290727,15895915460.0,7377516544.0,0.0003,0.0012211575,4.8828125e-05,0.0,2531,-139756.70217733
271,840,6.39,690000,0.9959006309509277,0.2,-16.978190338611604,-0.0009109873531087942,18578305774.4,6847734784.0,0.0003,0.0006314686,0.0,0.0,2544,-138011.57944999
273,850,7.01,700000,0.9957451224327087,0.2,-16.976938396692276,-0.0011325732881687146,16086079054.4,8612091904.0,0.0003,0.0008096919,0.0,0.0,2556,-140221.98967054
276,860,6.99,710000,0.9955778121948242,0.2,-16.97493443340063,-0.0012906758663120855,15280626496.8,6513267712.0,0.0003,0.00091828406,0.0,0.0,2569,-147846.76616326
278,870,8.32,720000,0.9956703782081604,0.2,-16.97452802658081,-0.0009213270899408599,13241053917.6,6333179392.0,0.0003,0.0007772121,0.0,0.0,2582,-183523.56658152002
280,890,6.34,730000,0.9955882430076599,0.2,-16.97409934848547,-0.0009583381523952994,15338894632.0,6541192704.0,0.0003,0.00071973447,0.0,0.0,2602,-133648.38910664
282,900,7.27,740000,0.9955809116363525,0.2,-16.974039798974992,-0.0019232897378969938,14957693631.2,10438500352.0,0.0003,0.0015129105,4.8828125e-05,0.0,2616,-146278.40953420996
285,910,6.15,750000,0.9955742359161377,0.2,-16.973931124806406,-0.0015133155789953888,13780162620.8,7131060736.0,0.0003,0.0012327136,1.220703125e-05,0.0,2629,-130455.94780575
