train/entropy_loss,train/explained_variance,train/n_updates,time/time_elapsed,train/value_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/approx_kl,train/std,train/loss,time/fps,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean
-8.129721925407647,0.0,860,443,445557981.1375,710000,-300839.48195951997,0.0003,0.01458740234375,0.003766903,0.9383857846260071,180417424.0,1600,0.2,-0.0029442375452163106,319.46
-8.127146983891725,0.0,870,449,471433312.5625,720000,-301333.85415987996,0.0003,0.0208740234375,0.004317187,0.9380837082862854,272376128.0,1601,0.2,-0.00359659598525468,324.12
-8.121889588981867,0.0,890,458,574785513.075,730000,-289732.51594242005,0.0003,0.009521484375,0.003698724,0.9370394349098206,276920000.0,1593,0.2,-0.0022804095584433525,302.51
-8.11725755482912,0.0,900,463,566301296.75,740000,-262537.64412035997,0.0003,0.01793212890625,0.0038504212,0.9364902973175049,204529808.0,1595,0.2,-0.0033397645216609816,263.69
-8.111059328168631,0.0,910,469,528436034.9625,750000,-267248.39451590995,0.0003,0.0258544921875,0.005641902,0.9351645112037659,232706752.0,1596,0.2,-0.004616885124869441,272.76
-8.10534106940031,0.0,920,475,615084283.175,760000,-276638.43601775996,0.0003,0.01827392578125,0.0034484868,0.93455570936203,313901792.0,1597,0.2,-0.002735115081304684,288.3
-8.09854054376483,0.0,930,481,499027342.6625,770000,-276409.76183783,0.0003,0.01380615234375,0.0035488764,0.93328458070755,205732736.0,1599,0.2,-0.0028811781639888068,278.03
-8.091868814080954,0.0,950,490,559633830.5375,780000,-285696.9571872,0.0003,0.00726318359375,0.003124245,0.9329546093940735,324251712.0,1591,0.2,-0.00213275774694921,288.84
-8.086802957206965,0.0,960,495,545022420.0625,790000,-291232.08194152004,0.0003,0.011669921875,0.002946991,0.931525707244873,161362336.0,1593,0.2,-0.0024878526844986483,289.99
-8.085345383733511,0.0,970,501,443249731.35,800000,-310696.59209544,0.0003,0.00850830078125,0.002792588,0.9324861168861389,217682608.0,1595,0.2,-0.002727184891773504,328.81
-8.088280156254768,1.1920928955078125e-07,980,507,509745244.75,810000,-315940.43186415004,0.0003,0.01453857421875,0.0038747694,0.9322940707206726,279742304.0,1596,0.2,-0.0030776749317737995,333.12
-8.076970858126879,0.0,1000,515,465776810.35,820000,-327068.48657309,0.0003,0.01058349609375,0.0035745348,0.9296876788139343,224100208.0,1589,0.2,-0.003185843549999845,350.56
-8.064947754144669,-1.1920928955078125e-07,1010,521,464534972.775,830000,-324253.36922501994,0.0003,0.01705322265625,0.0041486816,0.9282071590423584,173671936.0,1591,0.2,-0.003627551228601078,349.98
-8.055163922160864,0.0,1020,527,476231588.8875,840000,-338940.51950732997,0.0003,0.02779541015625,0.004950442,0.9266865849494934,377973152.0,1593,0.2,-0.003972407380933874,367.2
-8.05352163091302,0.0,1030,532,492916806.2375,850000,-309978.75649265,0.0003,0.03402099609375,0.004935397,0.927760124206543,328933248.0,1594,0.2,-0.0046581648148276145,343.94
-8.053576581925153,0.0,1040,538,451004427.1375,860000,-310556.00339057995,0.0003,0.006640625,0.0029521103,0.9268938899040222,232732512.0,1596,0.2,-0.002462967298197327,356.77
-8.048611928522586,0.0,1060,547,548998854.5375,870000,-306955.17735111003,0.0003,0.005322265625,0.0024845689,0.9268885254859924,344120096.0,1589,0.2,-0.0018289624338649446,344.31
-8.048846339434386,0.0,1070,552,535302420.375,880000,-292097.4078189,0.0003,0.0226318359375,0.004457612,0.9261353611946106,246175264.0,1591,0.2,-0.003274255876567622,316.76
-8.04278946891427,-1.1920928955078125e-07,1080,558,453555715.6,890000,-298266.32713518,0.0003,0.01705322265625,0.0037310873,0.9252638816833496,256653280.0,1593,0.2,-0.0030965691101300765,318.4
-8.03962171599269,0.0,1090,564,446553752.725,900000,-296293.3873671,0.0003,0.0261474609375,0.0051171687,0.9252164363861084,232970672.0,1594,0.2,-0.0031932342673826495,320.16
-8.035083458572625,-1.1920928955078125e-07,1110,572,435770995.65,910000,-314719.38792863,0.0003,0.04102783203125,0.0060171485,0.924347460269928,198637328.0,1588,0.2,-0.005361615774927486,349.84
-8.028513257950545,0.0,1120,578,466892259.525,920000,-343617.16539232,0.0003,0.037890625,0.0051402035,0.9230589270591736,276539808.0,1590,0.2,-0.004517801152542233,386.34
-8.023571045696736,1.1920928955078125e-07,1130,584,438636700.9625,930000,-336620.23203172,0.0003,0.02664794921875,0.0049826987,0.922827959060669,335765664.0,1591,0.2,-0.00422347328185424,379.04
-8.024515558779239,0.0,1140,589,506803438.5,940000,-303256.96672166005,0.0003,0.0268310546875,0.004897057,0.9234678149223328,253052912.0,1593,0.2,-0.004289820472149586,352.04
-8.020166221261025,0.0,1150,595,472970714.225,950000,-322120.9321955,0.0003,0.01595458984375,0.0042271246,0.9216498732566833,155833536.0,1595,0.2,-0.0031740464619360864,366.39
-8.000855019688606,0.0,1170,604,411872716.89375,960000,-316140.27252829,0.0003,0.0137451171875,0.0036302074,0.9190766215324402,141401328.0,1588,0.2,-0.0027282715551336877,363.19
-7.991965246200562,-1.1920928955078125e-07,1180,609,429384811.625,970000,-307983.59253036,0.0003,0.0117919921875,0.0037521361,0.9178462624549866,291256544.0,1590,0.2,-0.002905034975628951,355.41
-7.988359962031245,-1.1920928955078125e-07,1190,615,468190565.1,980000,-310996.16880122,0.0003,0.007861328125,0.002787889,0.9179587960243225,154872368.0,1592,0.2,-0.0020975921352146543,363.66
-7.986944677308202,0.0,1200,621,459934715.44375,990000,-279085.98791148,0.0003,0.0158935546875,0.004154814,0.9175730347633362,246167168.0,1593,0.2,-0.0033169080714287704,315.27
-7.984534848481417,0.0,1220,629,384837772.35625,1000000,-289230.28877258,0.0003,0.0157470703125,0.0035915752,0.9172723889350891,158602320.0,1587,0.2,-0.0030049865257751663,325.56
