rollout/ep_len_mean,train/approx_kl,train/clip_range,train/value_loss,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/std,train/policy_gradient_loss,time/fps,time/total_timesteps,train/loss
49.13,0.0004966966,0.2,2900722429.8,480,900,0.0,-12.580951998382806,-1.1920928955078125e-07,0.0003,-159381.5227681,0.9795186519622803,-0.0008822687988867984,1539,740000,1391708416.0
46.19,0.000803803,0.2,2929359624.0,486,910,0.0,-12.583280512690544,1.1920928955078125e-07,0.0003,-173562.64768679003,0.9796677827835083,-0.001266483789368067,1541,750000,1760240384.0
51.58,0.0004911831,0.2,3020525129.7,492,920,0.0,-12.581306717544795,0.0,0.0003,-168066.46672345002,0.9790942668914795,-0.0009364554658532143,1542,760000,1330725760.0
46.21,0.00079929765,0.2,2742443268.6,498,930,0.0,-12.57768050134182,1.7881393432617188e-07,0.0003,-167725.49600548,0.9789131879806519,-0.00143080688549162,1544,770000,1514707456.0
45.79,0.0004874219,0.2,2692845954.7,507,950,0.0,-12.576216937601567,-1.1920928955078125e-07,0.0003,-153359.63121996,0.9787988662719727,-0.0009976364360227308,1537,780000,1223063040.0
48.28,0.00058703625,0.2,2862780824.4,513,960,0.0,-12.574943546950816,5.960464477539063e-08,0.0003,-166855.34173291,0.9786164164543152,-0.0010729751171311363,1539,790000,1494187776.0
47.54,0.00085957005,0.2,2825891040.8,519,970,4.8828125e-05,-12.57200172021985,0.0,0.0003,-166344.77226069997,0.9781577587127686,-0.001069411529078934,1541,800000,1417232000.0
49.29,0.0012056121,0.2,2885646618.4,525,980,2.44140625e-05,-12.568183197826148,0.0,0.0003,-160858.0136955,0.9777702689170837,-0.00147086822125857,1542,810000,1427281664.0
40.28,0.00044386485,0.2,2868620964.5,533,1000,0.0,-12.563763169199229,0.0,0.0003,-151497.40107829001,0.9773984551429749,-0.0009793585117222393,1536,820000,1360008448.0
46.46,0.00070600293,0.2,2765605077.4,539,1010,0.0,-12.559678295999765,5.960464477539063e-08,0.0003,-157958.22491020002,0.9767116904258728,-0.0010411463368654949,1537,830000,1759451776.0
51.32,0.0014487414,0.2,2677244940.5,545,1020,0.00037841796875,-12.556052843481302,0.0,0.0003,-166752.22928181998,0.9766263961791992,-0.0015010659872132237,1539,840000,1534169856.0
53.8,0.00045067957,0.2,2694759242.9,551,1030,0.0,-12.556504760682582,0.0,0.0003,-161932.31613488,0.9768149852752686,-0.0010062018407552386,1540,850000,1244658944.0
40.33,0.002005112,0.2,2663481399.6,557,1040,0.0004638671875,-12.556973038613796,-1.1920928955078125e-07,0.0003,-140736.82213460002,0.9767036437988281,-0.0022555137374183688,1541,860000,1208516608.0
55.11,0.0005166171,0.2,2673773885.4,566,1060,0.0,-12.554774768650532,0.0,0.0003,-168184.18554899,0.9764761328697205,-0.000998069317847694,1535,870000,1373146752.0
53.21,0.0016051242,0.2,2585598002.3,572,1070,0.0001220703125,-12.554773964732885,0.0,0.0003,-161216.88693968998,0.9765971302986145,-0.0016694434392775293,1537,880000,1349951360.0
49.71,0.0012186117,0.2,2650051960.1,578,1080,6.103515625e-05,-12.554144672304393,-1.1920928955078125e-07,0.0003,-156698.37717536002,0.9763624668121338,-0.001600634133501444,1538,890000,1480674944.0
54.7,0.0009763343,0.2,2630544374.0,584,1090,0.0,-12.550561261922121,0.0,0.0003,-162810.17696977,0.9758095145225525,-0.0014604867685193313,1540,900000,1173110016.0
45.67,0.001293831,0.2,2752929955.7,593,1110,0.000244140625,-12.544633068889379,0.0,0.0003,-149193.13647346,0.9750889539718628,-0.0015396858709209483,1534,910000,1352917376.0
52.0,0.0004652485,0.2,2802547750.7,599,1120,0.0,-12.538006671518087,0.0,0.0003,-171772.72630595003,0.9743900299072266,-0.0008372524785954738,1535,920000,1762592128.0
44.35,0.0004882753,0.2,2770065980.9,605,1130,0.0,-12.53302284181118,0.0,0.0003,-154872.44072685004,0.9740421772003174,-0.001237600960121199,1536,930000,1396027904.0
47.25,0.0012957314,0.2,2718933790.5,611,1140,0.0001708984375,-12.529634406417609,0.0,0.0003,-146686.60905565,0.9736583232879639,-0.0014212934220267925,1538,940000,1336309120.0
44.43,0.0017836684,0.2,2638268472.8,617,1150,0.00030517578125,-12.525384014099837,5.960464477539063e-08,0.0003,-155987.45048551998,0.9731279015541077,-0.0019141666383802659,1539,950000,1488607744.0
46.79,0.0010108113,0.2,2776248352.1,625,1170,1.220703125e-05,-12.52231182307005,1.7881393432617188e-07,0.0003,-156706.76011374,0.9731454849243164,-0.0013714611767227324,1533,960000,1032295424.0
46.24,0.0030728201,0.2,2628793878.8,631,1180,0.00389404296875,-12.521071775257587,0.0,0.0003,-144828.22728448,0.9726896286010742,-0.002846299369048211,1535,970000,1202774016.0
50.03,0.0006425198,0.2,2502728850.4,637,1190,1.220703125e-05,-12.519691490381955,0.0,0.0003,-163038.02874605003,0.9728879928588867,-0.0008766463586653117,1536,980000,1250443776.0
49.17,0.0010782134,0.2,2597365450.4,643,1200,1.220703125e-05,-12.520441268384456,0.0,0.0003,-148395.73248766002,0.9728533625602722,-0.0013469422114212649,1537,990000,1296293632.0
47.12,0.0018010715,0.2,2568900571.9,652,1220,0.0007080078125,-12.51666443347931,0.0,0.0003,-145194.26481655997,0.9722044467926025,-0.001723017033873475,1532,1000000,1258474752.0
