time/fps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate,eval/mean_reward,eval/mean_ep_length
249,592,18446,0.1536867767572403,0.39912065863609314,557.11,147672,576.3591918945312,-6255.697077390001,317.3812561035156,364,0.001,,
250,598,18684,0.15232433378696442,-0.7087201476097107,550.81,149576,591.6767578125,-6145.2931352099995,339.1221618652344,368,0.001,,
250,599,18737,0.1528034657239914,-0.2737104892730713,549.97,150000,574.3155517578125,-6182.340077480001,281.0101013183594,369,0.001,,
,,,,,,150000,,,,,,-8220.3726406,1000.0
247,617,19108,0.15652035176753998,0.21349577605724335,543.7,152968,556.3230590820312,-6073.50254984,917.2307739257812,372,0.001,,
248,626,19446,0.15731200575828552,-0.43939369916915894,534.49,155672,562.48828125,-5870.679884940002,734.4183349609375,376,0.001,,
249,635,19793,0.15847308933734894,-0.16083253920078278,541.73,158448,556.5280151367188,-5956.600681720001,315.52093505859375,380,0.001,,
249,640,19987,0.16045786440372467,-0.6117742657661438,538.15,160000,544.8603515625,-5892.9843378900005,322.3351135253906,382,0.001,,
,,,,,,160000,,,,,,-6713.8462968,907.2
247,653,20187,0.16039887070655823,0.4574222266674042,555.91,161600,561.1431884765625,-6088.746701310001,342.77838134765625,384,0.001,,
247,660,20449,0.16301900148391724,-1.069610595703125,569.02,163696,557.264404296875,-6169.2190788200005,350.46295166015625,388,0.001,,
248,665,20641,0.14882725477218628,-1.6311718225479126,583.92,165232,573.696044921875,-6206.719455529999,1234.3751220703125,392,0.001,,
249,672,20931,0.1431257277727127,0.27296194434165955,575.98,167552,564.4691772460938,-6040.127199490001,307.40740966796875,396,0.001,,
249,680,21237,0.15129254758358002,-0.22842219471931458,572.54,170000,576.921875,-5968.20542509,1111.83837890625,399,0.001,,
,,,,,,170000,,,,,,-8513.7247382,995.8
245,693,21310,0.15170316398143768,0.5550557971000671,580.22,170584,564.2691650390625,-5995.18307173,267.1724548339844,400,0.001,,
246,702,21641,0.1496574431657791,-0.285620778799057,587.26,173232,567.5762329101562,-5930.54256799,480.3533020019531,404,0.001,,
247,710,21962,0.15597303211688995,0.3139289915561676,580.88,175800,535.6570434570312,-5915.618980180001,317.43060302734375,408,0.001,,
247,713,22093,0.15691381692886353,-0.6965237855911255,596.66,176848,540.265625,-5986.117768909999,796.196044921875,412,0.001,,
248,724,22487,0.15614718198776245,-0.7712808847427368,591.36,180000,530.9639892578125,-5981.79239237,309.5959167480469,414,0.001,,
,,,,,,180000,,,,,,-5478.3924369999995,813.6
246,737,22723,0.14745092391967773,-0.28748610615730286,588.13,181888,537.6594848632812,-5872.181647340001,352.3321533203125,416,0.001,,
247,744,22969,0.1438288390636444,0.7207269668579102,605.07,183856,542.3624267578125,-5889.130318830001,327.5631103515625,420,0.001,,
247,752,23275,0.1473679393529892,-0.355001300573349,612.43,186304,548.5519409179688,-5890.137590439998,256.8323059082031,424,0.001,,
248,759,23562,0.15019972622394562,0.7441749572753906,591.58,188600,556.2412109375,-5754.407416720001,339.30999755859375,428,0.001,,
248,763,23737,0.15541140735149384,0.34585434198379517,592.45,190000,549.6837158203125,-5778.195001689999,367.4541015625,430,0.001,,
,,,,,,190000,,,,,,-8038.147482199999,975.4
246,775,23845,0.15954433381557465,0.17487742006778717,591.21,190864,552.8929443359375,-5713.184226969998,369.6588134765625,432,0.001,,
247,787,24322,0.14946377277374268,-0.9805433750152588,613.9,194680,543.229248046875,-5804.97356885,261.4515380859375,436,0.001,,
248,796,24679,0.1302080899477005,-0.5295164585113525,634.46,197536,551.1720581054688,-5874.04700201,842.7051391601562,440,0.001,,
