train/entropy_loss,train/learning_rate,time/total_timesteps,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/n_updates,train/approx_kl,train/explained_variance,time/time_elapsed,train/clip_fraction,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean
-23.782862113416193,0.0017,620000,860,30.5,-0.002011132908955915,1.1827582120895386,750,0.0017279987,-1.1920928955078125e-07,720,0.0003173828125,28166883328.0,0.2,63576748787.2,-760718.49282387
-23.82046972066164,0.0017,630000,861,33.98,-0.0012163132720161229,1.1857738494873047,760,0.0010018176,0.0,731,7.32421875e-05,28341641216.0,0.2,60196830812.8,-839145.3807871599
-23.883708523213862,0.0017,640000,857,35.37,-0.0016448990088974824,1.1904094219207764,780,0.0014446581,1.1920928955078125e-07,746,0.00018310546875,33822496768.0,0.2,62552264070.4,-879826.13372711
-23.917108699679375,0.0017,650000,858,31.72,-0.0017327323792414972,1.193450927734375,790,0.0012651958,0.0,756,0.0001220703125,28938094592.0,0.2,58180537932.8,-787173.5381265001
-23.950812385976313,0.0017,660000,859,37.44,-0.001120875956985401,1.1957507133483887,800,0.0009051964,-2.384185791015625e-07,767,2.44140625e-05,32576389120.0,0.2,60068690438.4,-917601.87913941
-23.98349091410637,0.0017,670000,860,32.06,-0.0011305439375064452,1.1986922025680542,810,0.00061914575,1.7881393432617188e-07,778,0.0,33795678208.0,0.2,64267032668.8,-794830.8360229599
-24.05909435003996,0.0017,680000,856,31.35,-0.0013384101127485338,1.2045964002609253,830,0.000984709,-1.1920928955078125e-07,793,3.662109375e-05,33527171072.0,0.2,60193446368.0,-781235.72422589
-24.092628672719,0.0017,690000,857,32.82,-0.0015984583093086257,1.2073115110397339,840,0.0012616455,0.0,804,0.000146484375,33944979456.0,0.2,61649868608.0,-810469.4889649503
-24.130193473398684,0.0017,700000,858,25.96,-0.0020992909940105164,1.2106434106826782,850,0.0018811441,-1.1920928955078125e-07,815,0.0006591796875,30033725440.0,0.2,57258901136.0,-652580.2359540099
-24.167914333939553,0.0017,710000,859,30.17,-0.0007562741287983954,1.2134000062942505,860,0.0004921586,1.7881393432617188e-07,826,0.0,28860319744.0,0.2,60639474867.2,-755865.8213305799
-24.205424305796623,0.0017,720000,860,32.93,-0.0018582137339762995,1.2167085409164429,870,0.0013738195,0.0,836,0.0001953125,29266755584.0,0.2,60852805059.2,-813117.9491396201
-24.27522768378258,0.0017,730000,856,31.97,-0.0009555998543874011,1.222123622894287,890,0.0007578219,1.7881393432617188e-07,851,3.662109375e-05,31535984640.0,0.2,61022822220.8,-796903.8188860198
-24.31088605225086,0.0017,740000,856,31.99,-0.0016073132119345246,1.2251468896865845,900,0.0013358744,0.0,863,0.000146484375,29481074688.0,0.2,57381890134.4,-788485.2599183999
-24.34789930731058,0.0017,750000,856,30.34,-0.001582433859584853,1.228200912475586,910,0.0012219821,-1.1920928955078125e-07,875,1.220703125e-05,27698616320.0,0.2,58150672553.6,-761867.2329933698
-24.38494131267071,0.0017,760000,857,30.12,-0.0014204928562321583,1.2312219142913818,920,0.0012371195,0.0,886,0.00029296875,29600487424.0,0.2,57928000720.0,-743002.8412372901
-24.420994739234448,0.0017,770000,858,29.64,-0.0007874583747252472,1.2341010570526123,930,0.00057840475,-1.1920928955078125e-07,897,1.220703125e-05,29140234240.0,0.2,58277726019.2,-738696.7960727799
-24.48795653283596,0.0017,780000,854,39.03,-0.0012867753575847019,1.2392810583114624,950,0.0009726046,0.0,912,1.220703125e-05,32266362880.0,0.2,59156347724.8,-956837.46204741
-24.519489251077175,0.0017,790000,855,31.51,-0.0016606127597697195,1.2423176765441895,960,0.0012446719,-1.1920928955078125e-07,923,0.0002685546875,30314225664.0,0.2,58795961353.6,-781361.2556149799
-24.555353696644307,0.0017,800000,856,32.06,-0.00164046733698342,1.245208501815796,970,0.0015498548,1.7881393432617188e-07,933,0.00032958984375,28246814720.0,0.2,57327890102.4,-786332.75509478
-24.591837982833386,0.0017,810000,857,30.01,-0.0019058036710703163,1.2483866214752197,980,0.0014120289,0.0,944,0.00013427734375,29729662976.0,0.2,59297206643.2,-750658.0979705598
-24.66563687771559,0.0017,820000,854,27.98,-0.0013805440568830818,1.2546584606170654,1000,0.0009381048,0.0,959,6.103515625e-05,24820002816.0,0.2,56047042012.8,-704089.65833217
