time/time_elapsed,train/learning_rate,train/std,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,time/fps,rollout/ep_len_mean
454,0.0003,0.9751875400543213,-8.360060292482377,0.0,1260786383.75,0.2,680000,-0.0021026827693276574,-205364.60820308,0.003575312,576245184.0,830,0.00838623046875,1496,113.85
460,0.0003,0.9753318428993225,-8.360464611649514,-1.1920928955078125e-07,1517325653.6,0.2,690000,-0.0008651257361634634,-185084.52859776997,0.0009880639,762290880.0,840,0.0,1499,91.59
465,0.0003,0.974942684173584,-8.359776828438044,-1.1920928955078125e-07,1471474201.65,0.2,700000,-0.0016145877938470222,-190555.37772565996,0.002412096,764683392.0,850,0.0010009765625,1502,98.44
471,0.0003,0.9748076796531677,-8.358162212371827,1.1920928955078125e-07,1600329444.05,0.2,710000,-0.0009337244882772211,-205996.30505766004,0.0010814338,791716480.0,860,0.0,1504,104.95
477,0.0003,0.9738600254058838,-8.354855479300022,1.1920928955078125e-07,1550164666.25,0.2,720000,-0.0012231988677740447,-191652.09086077998,0.0014634049,721055552.0,870,3.662109375e-05,1507,98.22
486,0.0003,0.9731485843658447,-8.348913523554803,0.0,1665086736.9,0.2,730000,-0.0016286975306684325,-197708.78431567003,0.0029021995,794717248.0,890,0.00169677734375,1500,90.47
492,0.0003,0.9720308780670166,-8.344292406737804,0.0,1545944674.7,0.2,740000,-0.00171752593578276,-189241.10970416997,0.0027904613,896818368.0,900,0.003466796875,1503,92.61
498,0.0003,0.9719407558441162,-8.340438190847635,0.0,1580592395.6,0.2,750000,-0.0009623156398447464,-202191.19386710998,0.0011467768,590787264.0,910,4.8828125e-05,1505,103.95
503,0.0003,0.9714483618736267,-8.33855513855815,0.0,1415150827.5,0.2,760000,-0.000871845006440708,-193830.09165645,0.0011624757,746776192.0,920,2.44140625e-05,1508,94.74
509,0.0003,0.9714536666870117,-8.337265860289335,-1.1920928955078125e-07,1614584829.95,0.2,770000,-0.0014354474707943155,-201725.98567188997,0.0024109555,588212992.0,930,0.0023193359375,1510,93.71
518,0.0003,0.9710488319396973,-8.334357389062642,0.0,1507990090.75,0.2,780000,-0.0009431873698304116,-180951.91111502,0.0009989247,819653504.0,950,0.0,1504,89.59
524,0.0003,0.9713230133056641,-8.335418276488781,0.0,1616911411.9,0.2,790000,-0.0006674739596746804,-175921.33595613003,0.0005822405,776293760.0,960,0.0,1506,86.81
530,0.0003,0.9708111882209778,-8.33450586348772,0.0,1509162726.45,0.2,800000,-0.0014146518195047974,-192813.41999755,0.0021108498,718901248.0,970,0.00068359375,1509,96.19
535,0.0003,0.9697751402854919,-8.329800289869308,-1.1920928955078125e-07,1432045086.1,0.2,810000,-0.0013683901217518724,-212088.47907341993,0.0018007298,667541824.0,980,0.00028076171875,1511,114.21
544,0.0003,0.9698863625526428,-8.32571865990758,0.0,1463237642.15,0.2,820000,-0.0009030538120896381,-178361.65624815,0.0015258039,623443584.0,1000,0.00029296875,1505,91.81
550,0.0003,0.9695498943328857,-8.325956592708826,0.0,1488520839.6,0.2,830000,-0.0019347278420354997,-203992.08334334998,0.0031159995,692481792.0,1010,0.003125,1507,105.83
556,0.0003,0.9689258933067322,-8.323141515254974,1.1920928955078125e-07,1488858295.2,0.2,840000,-0.0014644303330896946,-196435.49357719,0.0023943908,681690432.0,1020,0.00426025390625,1509,99.3
562,0.0003,0.9686558246612549,-8.320042663812638,0.0,1405360362.2,0.2,850000,-0.0021566447708210035,-195493.17582208998,0.0032986123,540299392.0,1030,0.003662109375,1512,97.51
567,0.0003,0.967815101146698,-8.31628189086914,-1.1920928955078125e-07,1510579840.25,0.2,860000,-0.0014721135072250035,-174888.24456778006,0.001965893,642521792.0,1040,0.0005126953125,1514,88.27
576,0.0003,0.966213047504425,-8.306398501992225,0.0,1554562692.95,0.2,870000,-0.0009339719164017879,-187567.65930030998,0.0016650218,836000320.0,1060,0.00052490234375,1508,90.62
582,0.0003,0.9655997157096863,-8.302022578567266,-1.1920928955078125e-07,1531336947.5,0.2,880000,-0.001174068940053985,-189179.40037033,0.0017039606,1056714112.0,1070,0.00032958984375,1510,94.05
588,0.0003,0.965705931186676,-8.30032758936286,1.1920928955078125e-07,1443409993.6,0.2,890000,-0.0017850694027401915,-186691.40829890006,0.0032089048,640708416.0,1080,0.00323486328125,1512,93.94
594,0.0003,0.9653350710868835,-8.299458403885364,-1.1920928955078125e-07,1630538673.1,0.2,900000,-0.0008811826881355955,-179554.20167613996,0.0020307838,959715904.0,1090,0.00115966796875,1514,88.15
603,0.0003,0.9654037356376648,-8.298150743544102,0.0,1313850996.5,0.2,910000,-0.0011894448209204711,-196735.96551402003,0.0015387563,595731584.0,1110,0.00035400390625,1508,107.44
609,0.0003,0.9651956558227539,-8.298273780941964,0.0,1518659452.55,0.2,920000,-0.0010495211423403815,-187291.11722405005,0.0017236515,770740096.0,1120,0.000244140625,1510,93.93
614,0.0003,0.9643591046333313,-8.294860173761844,1.1920928955078125e-07,1392623672.85,0.2,930000,-0.0012048626887917635,-180747.06200619,0.002402505,673010688.0,1130,0.0013916015625,1512,93.99
620,0.0003,0.9648375511169434,-8.29373926371336,0.0,1385351778.4,0.2,940000,-0.0012537743297798443,-164321.73759,0.002126885,736595968.0,1140,0.00101318359375,1514,88.68
626,0.0003,0.9644217491149902,-8.29404832944274,0.0,1449915155.55,0.2,950000,-0.0018894340881161042,-167814.80348572,0.003174948,859845760.0,1150,0.00469970703125,1516,83.87
635,0.0003,0.9643097519874573,-8.292541675269604,0.0,1546113112.5,0.2,960000,-0.00163696802155755,-174882.64400842003,0.0022328445,949643712.0,1170,0.0006103515625,1510,84.04
641,0.0003,0.964351236820221,-8.292344777286052,0.0,1483551539.25,0.2,970000,-0.0022134314831419033,-172503.26952246003,0.0038501362,697603968.0,1180,0.00850830078125,1512,95.04
646,0.0003,0.9636254906654358,-8.289840041100978,0.0,1503209590.5,0.2,980000,-0.0019477658722280467,-169010.64934393,0.0032619738,755879424.0,1190,0.00374755859375,1514,77.55
652,0.0003,0.9641150832176208,-8.288901550322771,0.0,1498727782.6,0.2,990000,-0.0009505556434305617,-187540.95229105,0.0017007729,546373568.0,1200,0.00087890625,1516,96.35
661,0.0003,0.9639459252357483,-8.290549194067717,0.0,1330613661.8,0.2,1000000,-0.0016515458602953004,-189931.74381058998,0.0030124276,640379264.0,1220,0.003466796875,1511,107.49
