time/fps,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/value_loss,rollout/ep_rew_mean,train/std,train/loss,train/learning_rate,time/time_elapsed,train/clip_range,rollout/ep_len_mean,train/n_updates,train/clip_fraction
815,650000,1.7881393432617188e-07,-0.00038414216305682203,-21.286961406469345,7.894182e-05,42232916220.8,-1396173.35163642,1.0001798868179321,20309999616.0,0.0003,796,0.2,100.07,790,0.0
816,660000,5.960464477539063e-08,-0.00041082833904511064,-21.28625902235508,6.8685426e-05,42940324284.8,-1342308.54397956,1.000113844871521,20380964864.0,0.0003,808,0.2,96.08,800,0.0
817,670000,0.0,-0.0004620794747097534,-21.285268983244897,8.498019e-05,41735398048.0,-1264037.28660965,1.000048041343689,20896608256.0,0.0003,819,0.2,91.23,810,0.0
813,680000,0.0,-0.0003714943716659036,-21.284150007367135,5.4052354e-05,41614179558.4,-1251257.8146094598,0.9999554753303528,20916119552.0,0.0003,835,0.2,88.36,830,0.0
814,690000,-1.1920928955078125e-07,-0.00046827130627207224,-21.28369504660368,9.113614e-05,42651863305.6,-1477855.6663074298,0.9999959468841553,21202612224.0,0.0003,846,0.2,106.75,840,0.0
815,700000,0.0,-0.0004707202901045093,-21.284211418032648,8.8789726e-05,43128339689.6,-1217392.8084524302,1.0000245571136475,20185452544.0,0.0003,857,0.2,86.01,850,0.0
816,710000,0.0,-0.00029307138374861096,-21.283891859650613,3.796217e-05,43966291555.2,-1567325.9618708203,0.9999569058418274,21660510208.0,0.0003,869,0.2,112.37,860,0.0
817,720000,0.0,-0.0002807545568884962,-21.283645372092725,3.356165e-05,41722873561.6,-1284043.93165609,0.9999925494194031,20598493184.0,0.0003,880,0.2,92.82,870,0.0
814,730000,0.0,-0.00035604597551355257,-21.282654371857642,5.8022684e-05,43147287804.8,-1378123.27303606,0.99989253282547,20972240896.0,0.0003,896,0.2,97.93,890,0.0
814,740000,-1.1920928955078125e-07,-0.0004407246607115667,-21.282225908339022,7.166924e-05,42645460672.0,-1449604.4667499906,0.9998673796653748,21484449792.0,0.0003,908,0.2,104.25,900,0.0
815,750000,0.0,-0.00032937572705122876,-21.281867019832134,5.3889657e-05,40956613712.0,-1379945.26478629,0.9998430013656616,18957133824.0,0.0003,919,0.2,98.66,910,0.0
