train/actor_loss,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/episodes,train/learning_rate,rollout/ep_len_mean,train/critic_loss
-85553.03125,95.84403228759766,1.8895797729492188,202474,133583.16397469,6024,134,810000,39129,0.0064,10.39,586.1702880859375
-84926.640625,89.78504180908203,0.7517845034599304,204974,133578.29999968,6103,134,820000,40099,0.0064,10.32,562.696533203125
-86302.296875,87.93624877929688,0.6941393613815308,207474,131790.96287081,6181,134,830000,41063,0.0064,10.11,616.075927734375
-85349.140625,85.07003021240234,-0.15161731839179993,209974,133588.49999097,6259,134,840000,42034,0.0064,10.26,570.118896484375
-85482.296875,78.86088562011719,0.609792172908783,212474,132768.53906031002,6337,134,850000,42996,0.0064,10.57,562.719482421875
-86163.3203125,79.8779525756836,3.4183480739593506,214974,128862.7237195,6416,134,860000,43962,0.0064,10.93,585.3316040039062
-86350.421875,78.95965576171875,1.3434886932373047,217474,133687.49999838,6495,133,870000,44931,0.0064,10.13,551.1708984375
-86301.0234375,79.1387710571289,2.436253547668457,219974,133481.49999723,6573,133,880000,45904,0.0064,10.25,534.4953002929688
-83336.296875,88.35774230957031,0.7018395662307739,222474,133584.92200091,6654,133,890000,46638,0.0064,10.21,884.9780883789062
-84494.6875,86.63453674316406,1.184869408607483,224974,133382.60246840998,6733,133,900000,47550,0.0064,10.26,706.8917236328125
-82073.2109375,87.36674499511719,-0.8645769357681274,227474,133684.8999946,6813,133,910000,48516,0.0064,10.26,863.0694580078125
-84085.765625,82.85126495361328,-0.875190019607544,229974,132979.54317622,6893,133,920000,49484,0.0064,10.43,646.7333984375
-82575.71875,78.601806640625,-1.0377706289291382,232474,131526.89999463,6973,133,930000,50440,0.0064,11.09,778.5746459960938
-83122.84375,76.8121566772461,0.6460826396942139,234974,133685.79215474,7053,133,940000,51382,0.0064,10.39,900.2880859375
-84211.140625,79.38175201416016,-0.8871589303016663,237474,132781.37825253,7132,133,950000,52344,0.0064,10.34,722.8535766601562
-85828.0625,73.526123046875,2.1480016708374023,239974,133591.0998263,7212,133,960000,53304,0.0064,10.17,590.05419921875
-84751.34375,74.81380462646484,-0.594218909740448,242474,133179.84778349998,7291,133,970000,54264,0.0064,10.28,651.0263061523438
-85800.9375,73.59813690185547,0.7677249312400818,244974,133280.59912078,7372,132,980000,55231,0.0064,10.29,534.1828002929688
-86640.0078125,79.27735137939453,0.3668747544288635,247474,133688.96818727,7453,132,990000,56175,0.0064,10.13,488.6936950683594
-83940.9453125,71.648681640625,0.4297267198562622,249974,133586.34425795,7534,132,1000000,57073,0.0064,10.36,678.0166015625
