train/actor_loss,train/ent_coef,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/fps,time/time_elapsed
499255.3125,47.43109130859375,830000,2383132928.0,-750472.1582986303,-232.26904296875,1321,0.0055,277.37,207474,225,3683
119917.25,797.9024658203125,840000,92341248.0,-1000457.9033618701,48.658042907714844,1360,0.0055,289.48,209974,225,3728
103857.609375,72.64370727539062,850000,33957304.0,-326666.54613021,24.35927963256836,1430,0.0055,132.17,212474,225,3772
509895.25,1296.65283203125,860000,7738004480.0,-567078.2398774601,-207.60667419433594,1449,0.0055,202.0,214974,225,3816
347161.3125,1679.0107421875,870000,405532640.0,-1628905.8636697999,25.23863410949707,1482,0.0055,267.82,217474,225,3860
305667.53125,1380.8565673828125,880000,287352288.0,-1928848.9948022,62.52079391479492,1537,0.0055,253.98,219974,225,3904
622072.125,6989.4931640625,890000,12244424704.0,-1056560.74679012,-345.5372314453125,1572,0.0055,221.11,222474,225,3948
1813894.75,90345.8046875,900000,189780033536.0,-2032532.62849025,53.75782012939453,1591,0.0055,292.47,224974,225,3991
1635249.25,29131.25,910000,18866847744.0,-1888513.2906160501,48.5543212890625,1632,0.0055,305.35,227474,225,4036
1568859.0,5940.55615234375,920000,8666382336.0,-796695.97309722,39.340538024902344,1680,0.0055,240.21,229974,225,4080
1020013.375,1105.153564453125,930000,4057213184.0,-994900.9282385199,26.94139289855957,1711,0.0055,252.02,232474,225,4123
601990.3125,1299.9971923828125,940000,2994570752.0,-1172772.9742523602,29.22198486328125,1783,0.0055,190.47,234974,225,4167
252411.515625,69.10319519042969,950000,512692256.0,-329239.17103925,14.918914794921875,1879,0.0055,107.48,237474,225,4211
324639.6875,36.4340705871582,960000,2619595008.0,-255088.89977453,-17.885791778564453,1978,0.0055,98.22,239974,225,4255
146444.34375,71.27487182617188,970000,70615440.0,-110261.66358692001,10.658583641052246,2198,0.0055,42.21,242474,225,4299
418953.125,3266.796630859375,980000,4773821952.0,-134471.41325866999,-246.2222137451172,2331,0.0055,71.1,244974,225,4342
820821.4375,17922.1171875,990000,14210781184.0,-1096138.9478214001,47.07651138305664,2373,0.0055,161.75,247474,225,4386
1676142.0,64726.66796875,1000000,90495574016.0,-1653760.4914905704,52.60578536987305,2416,0.0055,228.22,249974,225,4430
