train/learning_rate,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,time/fps,train/clip_fraction
0.0017,670,613,41.97,-0.002211922864080407,0.0,-568247.3477539901,550000,18397960059.2,9146874880.0,-19.92671990096569,0.002421739,1.2761967182159424,0.2,896,0.00185546875
0.0017,680,623,29.45,-0.0022179293646331644,0.0,-415453.87167728995,560000,17909272984.0,9250899968.0,-19.97332245707512,0.002201115,1.2811123132705688,0.2,898,0.00220947265625
0.0017,690,633,38.06,-0.00231847745108098,0.0,-527632.78252414,570000,17683410392.8,8798056448.0,-20.020728908479214,0.0022992631,1.2863279581069946,0.2,899,0.0024169921875
0.0017,700,643,30.71,-0.0029185069833147282,-2.384185791015625e-07,-439576.84547857003,580000,18726009947.2,9372576768.0,-20.067798061668874,0.0027210189,1.2911592721939087,0.2,901,0.0041748046875
0.0017,720,658,36.1,-0.003370855453249533,0.0,-491743.3564447901,590000,17146275720.0,8672912384.0,-20.163733087480068,0.0035330602,1.3016868829727173,0.2,896,0.00806884765625
0.0017,730,668,30.54,-0.0019402247138714302,0.0,-432952.9991185,600000,17171960043.2,7676378624.0,-20.21105677187443,0.002018444,1.3069300651550293,0.2,897,0.0018798828125
0.0017,740,678,34.57,-0.0035218109769630246,1.7881393432617188e-07,-476097.26738800004,610000,17727318069.6,9268771840.0,-20.260912969708443,0.0035948528,1.312441349029541,0.2,899,0.01292724609375
0.0017,750,688,30.59,-0.0022479756934444596,0.0,-433195.06706883997,620000,17259879951.2,9214014464.0,-20.31192398518324,0.0014549256,1.3182587623596191,0.2,900,0.0008056640625
0.0017,760,698,35.46,-0.0023193985733087176,0.0,-483163.0094953499,630000,17148178350.4,8356814848.0,-20.36184538602829,0.0018960359,1.323367714881897,0.2,902,0.00145263671875
0.0017,780,713,31.09,-0.002550813083871617,-2.384185791015625e-07,-438311.18122297997,640000,17291916595.2,9306603520.0,-20.456020529568196,0.0026681516,1.3336962461471558,0.2,897,0.004638671875
0.0017,790,723,35.49,-0.002192997625388671,0.0,-491246.02591105,650000,17168478641.6,8520583680.0,-20.502565188705923,0.0025796779,1.3392173051834106,0.2,898,0.00206298828125
0.0017,800,733,32.25,-0.0017597262463823426,0.0,-450417.2520340301,660000,17036801389.6,7909389824.0,-20.54579167217016,0.0016673664,1.3434103727340698,0.2,900,0.00079345703125
0.0017,810,743,34.85,-0.002971067978978681,0.0,-474438.61588855996,670000,17629720058.4,8853385216.0,-20.586715233325958,0.0025996594,1.3483854532241821,0.2,901,0.0045654296875
0.0017,830,758,33.4,-0.003651027678279206,0.0,-459930.9806769599,680000,17156526151.2,8645164032.0,-20.681323064863683,0.003402383,1.3591312170028687,0.2,896,0.00911865234375
0.0017,840,768,36.36,-0.0022628635337241577,-1.1920928955078125e-07,-495360.20063451,690000,17047428817.6,8524811264.0,-20.72654730528593,0.002369332,1.3644355535507202,0.2,898,0.002294921875
0.0017,850,778,33.14,-0.001755944323303993,0.0,-457356.23783596983,700000,17251507607.2,8372940800.0,-20.77190265506506,0.0013396324,1.3695462942123413,0.2,899,0.00045166015625
0.0017,860,788,31.53,-0.001919332608304103,-1.1920928955078125e-07,-440247.53275042993,710000,16695389929.6,7662359040.0,-20.824281996488573,0.001267668,1.3763724565505981,0.2,900,0.000634765625
0.0017,870,798,34.53,-0.0021261118939946756,-1.1920928955078125e-07,-468431.77670711005,720000,16902356286.4,9490504704.0,-20.874119471013547,0.0022008102,1.3810521364212036,0.2,901,0.00185546875
0.0017,890,813,34.63,-0.002409695825190283,0.0,-465765.98462843,730000,16293500828.0,8366202880.0,-20.969110183417797,0.002505199,1.3926787376403809,0.2,897,0.00379638671875
