train/value_loss,time/time_elapsed,time/total_timesteps,train/clip_range,train/explained_variance,train/loss,train/n_updates,rollout/ep_len_mean,train/entropy_loss,time/fps,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std
7144717938.8,1163,890000,0.2,-1.1920928955078125e-07,3273782272.0,1080,17.88,-16.876847377419473,764,-140305.98191022,0.0008874051,0.0003,-0.0010802831515320578,1.220703125e-05,0.9874772429466248
7195039335.6,1175,900000,0.2,0.0,3464814080.0,1090,15.88,-16.87294672578573,765,-132867.34243877,0.0010215291,0.0003,-0.001192418141363305,0.0,0.9871230721473694
6951298192.8,1193,910000,0.2,5.960464477539063e-08,3740020992.0,1110,16.44,-16.867631909251212,762,-139225.30129455,0.0012363426,0.0003,-0.001488952504041663,2.44140625e-05,0.9868456721305847
6852386520.0,1205,920000,0.2,0.0,3662287360.0,1120,15.91,-16.867067988216878,763,-133292.44113036,0.00079007004,0.0003,-0.0011101436417447984,0.0,0.986802875995636
7129061862.4,1217,930000,0.2,-1.1920928955078125e-07,3396839168.0,1130,15.65,-16.865959149599075,763,-124812.97528641,0.0006164564,0.0003,-0.0008818790165605606,0.0,0.986660897731781
7010831896.0,1229,940000,0.2,0.0,3087230976.0,1140,17.53,-16.865460063517094,764,-154105.01331414,0.00087045494,0.0003,-0.0011293524947177502,2.44140625e-05,0.9867278933525085
7123199239.2,1242,950000,0.2,0.0,3283940864.0,1150,18.33,-16.865062986314296,764,-138260.43956738999,0.000995626,0.0003,-0.0009599044418791891,1.220703125e-05,0.9865803718566895
7010219904.8,1259,960000,0.2,0.0,3686747136.0,1170,17.28,-16.864980268478394,762,-136106.13214596,0.0019588545,0.0003,-0.0021276328414387537,0.0004150390625,0.9866035580635071
6690563510.0,1271,970000,0.2,0.0,3343105024.0,1180,17.26,-16.862631584703923,762,-136747.73025259,0.0013108893,0.0003,-0.0010675337880456937,8.544921875e-05,0.9863123297691345
7288014124.0,1283,980000,0.2,1.1920928955078125e-07,3550020096.0,1190,16.0,-16.8612587377429,763,-132901.36472867,0.00092976924,0.0003,-0.0012434577630301646,1.220703125e-05,0.9863784313201904
6914536706.8,1296,990000,0.2,-1.1920928955078125e-07,3392286208.0,1200,15.45,-16.860877138376235,763,-124078.13339100001,0.00092372095,0.0003,-0.0013082476249110186,0.0,0.9862565994262695
6333427585.2,1313,1000000,0.2,1.1920928955078125e-07,2998027008.0,1220,17.05,-16.857610368728636,761,-131813.11736464,0.00093968876,0.0003,-0.001109882497075887,0.0,0.9860109686851501
